row_label_raw,row_label_full,col_0,Vốn đầu tư chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,396.000.000.000,147.501.567.329,28.259.154.646,12.488.690.781,148.605.615.566,732.855.028.322,396000000000.0,147501567329.0,28259154646.0,12488690781.0,148605615566.0,732855028322.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,98.999.880.000,(93.000.000),-,-,-,98.906.880.000,98999880000.0,-93000000.0,,,,98906880000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,54.758.545.610,54.758.545.610,,,,,54758545610.0,54758545610.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,3.627.014.114,-,(9.067.535.285),(5.440.521.171),,,3627014114.0,,-9067535285.0,-5440521171.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,(98.999.880.000),(98.999.880.000),,,,,-98999880000.0,-98999880000.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(876.213.000),-,(876.213.000),,,,-876213000.0,,-876213000.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,494.999.880.000,147.408.567.329,31.886.168.760,11.612.477.781,95.296.745.891,781.203.839.761,494999880000.0,147408567329.0,31886168760.0,11612477781.0,95296745891.0,781203839761.0
Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),74.650.000.000,13.312.700.000,-,-,(4.000.000.000),83.962.700.000,74650000000.0,13312700000.0,,,-4000000000.0,83962700000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,130.649.389.312,130.649.389.312,,,,,130649389312.0,130649389312.0
Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),-,-,2.000.793.550,-,(5.365.879.385),(3.365.085.835),,,2000793550.0,,-5365879385.0,-3365085835.0
Trả cổ tức năm 2015 (ii),Trả cổ tức năm 2015 (ii),Trả cổ tức năm 2015 (ii),-,-,-,-,(34.649.991.600),(34.649.991.600),,,,,-34649991600.0,-34649991600.0
Tạm ứng cổ tức năm 2016 (iii),Tạm ứng cổ tức năm 2016 (iii),Tạm ứng cổ tức năm 2016 (iii),-,-,-,-,(51.899.988.000),(51.899.988.000),,,,,-51899988000.0,-51899988000.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,569.649.880.000,160.721.267.329,33.886.962.310,11.612.477.781,130.030.276.218,905.900.863.638,569649880000.0,160721267329.0,33886962310.0,11612477781.0,130030276218.0,905900863638.0
