row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7)
Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty có cùng lãnh đạo chủ chốt,Mua hàng hóa,-,3.228.690.598,,,,3228690598.0
Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty có cùng lãnh đạo chủ chốt,Mua hàng hóa,-,2.150.021.188,,,,2150021188.0
Công ty PBAT,Công ty PBAT,Công ty PBAT,Công ty con (Từ ngày 29 tháng 6 năm 2023),Mua hàng hóa,1.000.000.000,-,,,1000000000.0,
,,,,,1.000.000.000,5.378.711.786,,,1000000000.0,5378711786.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty An Phát Complex,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Cho vay,257.980.000.000,11.000.000.000,,,257980000000.0,11000000000.0
Công ty PBAT,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty PBAT,Công ty PBAT,Công ty con (Từ ngày 29 tháng 6 năm 2023),Cho vay,98.940.000.000,-,,,98940000000.0,
,,,,,356.920.000.000,11.000.000.000,,,356920000000.0,11000000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,,
Công ty Cổ Phần Nhựa Bao Bì An Vinh,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ Phần Nhựa Bao Bì An Vinh,Công ty Cổ Phần Nhựa Bao Bì An Vinh,Công ty con,Cho vay,15.000.000.000,-,,,15000000000.0,
,,,,,15.000.000.000,-,,,15000000000.0,
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi phải thu,12.263.239.316,23.630.137,,,12263239316.0,23630137.0
Công ty PBAT,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty PBAT,Công ty PBAT,Công ty con (Từ ngày 29 tháng 6 năm 2023),Lãi phải thu,6.014.336.439,-,,,6014336439.0,
Ông Phạm Ánh Dương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt của công hộ và tạm ứng ty APH,Phải thu từ chi trả,479.095.283,71.101.986,,,479095283.0,71101986.0
Bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Phải thu khác,271.672.735,160.804.579,,,271672735.0,160804579.0
,,,,,19.028.343.773,255.536.702,,,19028343773.0,255536702.0
