row_label_raw,row_label_full,col_0,31/12/2015Triệu VND,31/12/2014Triệu VND,numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VND
Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,,,,
▪ Bằng VND,Tiền gửi không kỳ hạn > ▪ Bằng VND,▪ Bằng VND,176.812,157.386,176812.0,157386.0
▪ Bằng ngoại tệ,Tiền gửi không kỳ hạn > ▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,13.332,7.590,13332.0,7590.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,,,,
▪ Bằng VND,Tiền gửi có kỳ hạn > ▪ Bằng VND,▪ Bằng VND,1.825.276,2.826.317,1825276.0,2826317.0
▪ Bằng ngoại tệ,Tiền gửi có kỳ hạn > ▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,109.454,255.002,109454.0,255002.0
,,,2.124.874,3.246.295,2124874.0,3246295.0
Vay từ các TCTD khác,Vay từ các TCTD khác,Vay từ các TCTD khác,Vay từ các TCTD khác,Vay từ các TCTD khác,,
▪ Bằng VND,Vay từ các TCTD khác > ▪ Bằng VND,▪ Bằng VND,235.541,1.688.795,235541.0,1688795.0
▪ Bằng ngoại tệ,Vay từ các TCTD khác > ▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,-,1.062.300,,1062300.0
"Trong đó:Vay cảm cố, thể chấp","Vay từ các TCTD khác > Trong đó:Vay cảm cố, thể chấp","Trong đó:Vay cảm cố, thể chấp",-,1.062.300,,1062300.0
,,,235.541,2.751.095,235541.0,2751095.0
,,,2.360.415,5.997.390,2360415.0,5997390.0
Tài sản bảo đảm cho khoản đi vay:,Tài sản bảo đảm cho khoản đi vay:,Tài sản bảo đảm cho khoản đi vay:,Tài sản bảo đảm cho khoản đi vay:,Tài sản bảo đảm cho khoản đi vay:,,
,,,31/12/2015Triệu VND,31/12/2014Triệu VND,,
Cho vay khách hàng – gộp,Tài sản bảo đảm cho khoản đi vay: > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,-,4.116.527,,4116527.0
