row_label_raw,row_label_full,col_0,31.12.2020Triệu VND,31.12.2019Triệu VND,numeric__31.12.2020Triệu VND,numeric__31.12.2019Triệu VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,1.436.647,1.048.555,1436647.0,1048555.0
Các khoản phải trả cho bên ngoài,Các khoản phải trả cho bên ngoài,Các khoản phải trả cho bên ngoài,,,,
- Chuyển tiền phải trả,Các khoản phải trả cho bên ngoài > - Chuyển tiền phải trả,- Chuyển tiền phải trả,313.272,281.552,313272.0,281552.0
- Các khoản phải nộp Ngân sách Nhà nước (Thuyết minh 34),Các khoản phải trả cho bên ngoài > - Các khoản phải nộp Ngân sách Nhà nước (Thuyết minh 34),- Các khoản phải nộp Ngân sách Nhà nước (Thuyết minh 34),364.748,102.898,364748.0,102898.0
- Tiền giữ hộ và đợi thanh toán,Các khoản phải trả cho bên ngoài > - Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,138.387,115.257,138387.0,115257.0
- Các khoản chờ thanh toán,Các khoản phải trả cho bên ngoài > - Các khoản chờ thanh toán,- Các khoản chờ thanh toán,944.493,162.890,944493.0,162890.0
- Phải trả khác,Các khoản phải trả cho bên ngoài > - Phải trả khác,- Phải trả khác,1.000,12,1000.0,12.0
Thu nhập chưa thực hiện,Các khoản phải trả cho bên ngoài > Thu nhập chưa thực hiện,Thu nhập chưa thực hiện,1.824,1.222,1824.0,1222.0
"Quỹ khen thưởng, phúc lợi (i)","Các khoản phải trả cho bên ngoài > Quỹ khen thưởng, phúc lợi (i)","Quỹ khen thưởng, phúc lợi (i)",202.931,204.068,202931.0,204068.0
Quỹ phát triển khoa học và công nghệ (ii),Các khoản phải trả cho bên ngoài > Quỹ phát triển khoa học và công nghệ (ii),Quỹ phát triển khoa học và công nghệ (ii),1.100.000,1.100.000,1100000.0,1100000.0
,,,4.503.302,3.016.454,4503302.0,3016454.0
