row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuệtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuệtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",7.509.867,-,10,-,-,-,7.509.877,7509867.0,,10.0,,,,7509877.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.716.901,45.092,-,555,-,-,3.762.548,3716901.0,45092.0,,555.0,,,3762548.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,512.377.838,7.519.418,251.194,1.262.625,54.552,(4.968.108),516.497.519,512377838.0,7519418.0,251194.0,1262625.0,54552.0,-4968108.0,516497519.0
,,,523.604.606,7.564.510,251.204,1.263.180,54.552,(4.968.108),527.769.944,523604606.0,7564510.0,251204.0,1263180.0,54552.0,-4968108.0,527769944.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,469.175.164,3.468.819,188.945,713.950,2.473,(1.387.870),472.161.481,469175164.0,3468819.0,188945.0,713950.0,2473.0,-1387870.0,472161481.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,1.320.509,44.118,71,272,-,2.511,1.367.481,1320509.0,44118.0,71.0,272.0,,2511.0,1367481.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,9.340.012,-,61,-,-,-,9.340.073,9340012.0,,61.0,,,,9340073.0
,,,479.835.685,3.512.937,189.077,714.222,2.473,(1.385.359),482.869.035,479835685.0,3512937.0,189077.0,714222.0,2473.0,-1385359.0,482869035.0
