row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2023Triệu VND,Năm 2022Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2023Triệu VND,numeric__Năm 2022Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tài sản cố định,,(1.243.832),(461.955),,,-1243832.0,-461955.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,3.618,3.603,,,3618.0,3603.0
07,07,07,"Tiền chỉ đầu tư, góp vốn vào các đơn vị khác",,(1.000.000),-,,,-1000000.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,57.851,,,,57851.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,126.169,75.377,,,126169.0,75377.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(2.114.045),(325.124),,,-2114045.0,-325124.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(3.377.435),-,,,-3377435.0,
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(3.377.435),-,,,-3377435.0,
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,32.341.674,20.913.592,,,32341674.0,20913592.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,103.429.874,82.516.282,,,103429874.0,82516282.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,,33 136.771.548,103.429.874,,,,103429874.0
