row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,"Bản quyền,bằng sáng chếVND",Phần mềmmáy vi tínhVND,TSCĐvô hình khácVND,CộngVND,numeric__Quyềnsử dụng đấtVND,"numeric__Bản quyền,bằng sáng chếVND",numeric__Phần mềmmáy vi tínhVND,numeric__TSCĐvô hình khácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
01/01/2015,NGUYÊN GIÁ > 01/01/2015,01/01/2015,2.327.738.000,2.324.750.000,16.380.835.218,97.561.039.348,118.594.362.566,2327738000.0,2324750000.0,16380835218.0,97561039348.0,118594362566.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,4.343.370.743,-,4.343.370.743,,,4343370743.0,,4343370743.0
- Phân loại nhóm tài sản,NGUYÊN GIÁ > - Phân loại nhóm tài sản,- Phân loại nhóm tài sản,-,189.229.000,(159.218.000),-,30.011.000,,189229000.0,-159218000.0,,30011000.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(79.000.000),-,(79.000.000),,,-79000000.0,,-79000000.0
- Bàn giao cho Tổng Công ty Quản lýBay Việt Nam- Công ty TNHH,NGUYÊN GIÁ > - Bàn giao cho Tổng Công ty Quản lýBay Việt Nam- Công ty TNHH,- Bàn giao cho Tổng Công ty Quản lýBay Việt Nam- Công ty TNHH,-,-,(227.272.727),-,(227.272.727),,,-227272727.0,,-227272727.0
31/12/2015,NGUYÊN GIÁ > 31/12/2015,31/12/2015,2.327.738.000,2.513.979.000,20.258.715.234,97.561.039.348,122.661.471.582,2327738000.0,2513979000.0,20258715234.0,97561039348.0,122661471582.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,,,
01/01/2015,GIÁ TRỊ HAO MÔN > 01/01/2015,01/01/2015,-,(43.280.685),(8.613.051.428),(62.634.692.519),(71.291.024.632),,-43280685.0,-8613051428.0,-62634692519.0,-71291024632.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÔN > - Khấu hao trong năm,- Khấu hao trong năm,(1.405.530.000),(837.992.978),(4.457.295.773),(9.314.496.651),(16.015.315.402),-1405530000.0,-837992978.0,-4457295773.0,-9314496651.0,-16015315402.0
- Phân loại nhóm tài sản,GIÁ TRỊ HAO MÔN > - Phân loại nhóm tài sản,- Phân loại nhóm tài sản,-,(36.470.213),36.470.213,-,-,,-36470213.0,36470213.0,,
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,79.000.000,-,79.000.000,,,79000000.0,,79000000.0
- Bàn giao cho Tổng Công ty Quản lýBay Việt Nam- Công ty TNHH,GIÁ TRỊ HAO MÔN > - Bàn giao cho Tổng Công ty Quản lýBay Việt Nam- Công ty TNHH,- Bàn giao cho Tổng Công ty Quản lýBay Việt Nam- Công ty TNHH,-,-,183.080.807,-,183.080.807,,,183080807.0,,183080807.0
31/12/2015,GIÁ TRỊ HAO MÔN > 31/12/2015,31/12/2015,(1.405.530.000),(917.743.876),(12.771.796.181),(71.949.189.170),(87.044.259.227),-1405530000.0,-917743876.0,-12771796181.0,-71949189170.0,-87044259227.0
GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,GIÀ TRỊ CÔN LẠI,,,,,
01/01/2015,GIÀ TRỊ CÔN LẠI > 01/01/2015,01/01/2015,2.327.738.000,2.281.469.315,7.767.783.790,34.926.346.829,47.303.337.934,2327738000.0,2281469315.0,7767783790.0,34926346829.0,47303337934.0
31/12/2015,GIÀ TRỊ CÔN LẠI > 31/12/2015,31/12/2015,922.208.000,1.596.235.124,7.486.919.053,25.611.850.178,35.617.212.355,922208000.0,1596235124.0,7486919053.0,25611850178.0,35617212355.0
