row_label_raw,row_label_full,col_0,01/04/2016VND,Số phải nộp trong kỳVND,Số đã thực nộp/bù trừ trong kỳVND,31/12/2016VND,numeric__01/04/2016VND,numeric__Số phải nộp trong kỳVND,numeric__Số đã thực nộp/bù trừ trong kỳVND,numeric__31/12/2016VND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,3.246.432.310.355,1.245.367.862.588,4.305.324.663.566,186.475.509.377,3246432310355.0,1245367862588.0,4305324663566.0,186475509377.0
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,14.967.144.535,475.310.750.808,475.014.988.625,15.262.906.718,14967144535.0,475310750808.0,475014988625.0,15262906718.0
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,153.423.877,153.423.877,-,,153423877.0,153423877.0,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,705.766.986.744,693.843.346.242,1.269.355.923.181,130.254.409.805,705766986744.0,693843346242.0,1269355923181.0,130254409805.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,3.366.571.448,67.310.332.980,30.956.908.903,39.719.995.525,3366571448.0,67310332980.0,30956908903.0,39719995525.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,168.240.674,1.288.473.039,1.312.692.176,144.021.537,168240674.0,1288473039.0,1312692176.0,144021537.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",-,196.354.866,167.120.475,29.234.391,,196354866.0,167120475.0,29234391.0
- Thuế nhà thầu,- Thuế nhà thầu,- Thuế nhà thầu,331.966.102,7.201.521.054,7.277.970.336,255.516.820,331966102.0,7201521054.0,7277970336.0,255516820.0
"- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",2.521.831.400.852,63.659.722,2.521.085.635.993,809.424.581,2521831400852.0,63659722.0,2521085635993.0,809424581.0
+ Lợi nhuận nộp Ngân sách,+ Lợi nhuận nộp Ngân sách,+ Lợi nhuận nộp Ngân sách,2.521.024.126.804,-,2.521.024.126.804,-,2521024126804.0,,2521024126804.0,
+ Các khoản phải nộp khác,+ Các khoản phải nộp khác,+ Các khoản phải nộp khác,807.274.048,63.659.722,61.509.189,809.424.581,807274048.0,63659722.0,61509189.0,809424581.0
,,,01/04/2016VND,Số được khấu trừ trong kỳVND,Số đã khấu trừ trong kỳVND,31/12/2016VND,,,,
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,256.795.077.289,325.903.928.069,363.175.831.921,219.523.173.437,256795077289.0,325903928069.0,363175831921.0,219523173437.0
,,,01/04/2016VND,Số phải thu trong kỳVND,Số đã thu trong kỳVND,31/12/2016VND,,,,
Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,21.198.292.498,168.667.048.090,85.777.728.436,104.087.612.152,21198292498.0,168667048090.0,85777728436.0,104087612152.0
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,8.300.240,2.293.402.638,8.300.240,2.293.402.638,8300240.0,2293402638.0,8300240.0,2293402638.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,18.235.385.460,33.286.510.318,38.101.438.798,13.420.456.980,18235385460.0,33286510318.0,38101438798.0,13420456980.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",2.954.606.798,46.009.289.382,47.667.989.398,1.295.906.782,2954606798.0,46009289382.0,47667989398.0,1295906782.0
"- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",-,87.077.845.752,-,87.077.845.752,,87077845752.0,,87077845752.0
+ Lợi nhuận nộp Ngân sách,+ Lợi nhuận nộp Ngân sách,+ Lợi nhuận nộp Ngân sách,-,87.077.845.752,-,87.077.845.752,,87077845752.0,,87077845752.0
