row_label_raw,row_label_full,Tên chi nhánh,Địa chỉ,numeric__Địa chỉ
1. Cảng hàng không quốc tế Nội Bài - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,1. Cảng hàng không quốc tế Nội Bài - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,1. Cảng hàng không quốc tế Nội Bài - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,"Cảng hàng không quốc tế Nội Bài, Xã Phú Minh, Huyện Sốc Sơn, Thành phố Hà Nội.",
2. Cảng hàng không quốc tế Đà Nẵng - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,2. Cảng hàng không quốc tế Đà Nẵng - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,2. Cảng hàng không quốc tế Đà Nẵng - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"Phường Hòa Thuận Tây, Quận Hải Châu, Thành phố Đà Nẵng.",
3. Cảng hàng không quốc tế Tân Sơn Nhất - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,3. Cảng hàng không quốc tế Tân Sơn Nhất - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,3. Cảng hàng không quốc tế Tân Sơn Nhất - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"58 Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh.",
4. Cảng hàng không quốc tế Cát Bi - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,4. Cảng hàng không quốc tế Cát Bi - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,4. Cảng hàng không quốc tế Cát Bi - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"Đường Lê Hồng Phong - Phường Thành Tô, Quận Hải An, Thành phố Hải Phòng.",
5. Cảng hàng không Quốc tế Vinh - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,5. Cảng hàng không Quốc tế Vinh - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,5. Cảng hàng không Quốc tế Vinh - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,"Xã Nghi Liên, Thành phố Vinh, Tỉnh Nghệ An.",
6. Cảng hàng không quốc tế Phú Bài - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,6. Cảng hàng không quốc tế Phú Bài - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,6. Cảng hàng không quốc tế Phú Bài - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam – CTCP,"Khu 8, Phường Phú Bài, Thị xã Hương Thủy, Tỉnh Thừa Thiên Huế.",
7. Cảng hàng không quốc tế Cam Ranh - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,7. Cảng hàng không quốc tế Cam Ranh - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,7. Cảng hàng không quốc tế Cam Ranh - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"Sân bay Cam Ranh, Phường Cam Nghĩa, Thành phố Cam Ranh, Tỉnh Khánh Hòa.",
8. Cảng hàng không Buôn Ma Thuột - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,8. Cảng hàng không Buôn Ma Thuột - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,8. Cảng hàng không Buôn Ma Thuột - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"Thôn 3, Xã Hòa Thắng, Thành phố Buôn Ma Thuột, Tỉnh Đak Lak.",
9. Cảng hàng không Liên Khương - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,9. Cảng hàng không Liên Khương - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,9. Cảng hàng không Liên Khương - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"Quốc lộ 20, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Tỉnh Lâm Đồng.",
10. Cảng hàng không quốc tế Cần Thơ - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,10. Cảng hàng không quốc tế Cần Thơ - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,10. Cảng hàng không quốc tế Cần Thơ - Chi nhánh Tổng Công ty Cảng hàng không Việt Nam - CTCP,"179B Đường Lê Hồng Phong, Phường Trà An, Quận Bình Thủy, Thành phố Cần Thơ.",
