row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,135.851.379.155,4.837.521.797,7.396.615.961,2.182.846.389,3.498.252.999,153.766.616.301,135851379155.0,4837521797.0,7396615961.0,2182846389.0,3498252999.0,153766616301.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,120.865.530.972,55.992.791.776,24.562.120.689,2.046.189.331,485.239.411,203.951.872.179,120865530972.0,55992791776.0,24562120689.0,2046189331.0,485239411.0,203951872179.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,28.092.610.000,774.288.182,10.170.173.636,1.151.505.735,,40.188.577.553,28092610000.0,774288182.0,10170173636.0,1151505735.0,,40188577553.0
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,,,,,,,,,,,,
- Tăng khác,- Đầu tư XDCB hoàn thành > - Tăng khác,- Tăng khác,92.772.920.972,55.218.503.594,14.391.947.053,894.683.596,485.239.411,163.763.294.626,92772920972.0,55218503594.0,14391947053.0,894683596.0,485239411.0,163763294626.0
3. Số giảm trong năm,- Đầu tư XDCB hoàn thành > 3. Số giảm trong năm,3. Số giảm trong năm,95.921.276.286,82.699.810,1.820.059.935,513.263.973,,98.337.300.004,95921276286.0,82699810.0,1820059935.0,513263973.0,,98337300004.0
- Chuyển sang BDS đầu tư,- Đầu tư XDCB hoàn thành > - Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,95.891.276.286,,,,,95.891.276.286,95891276286.0,,,,,95891276286.0
"- Thanh lý, nhượng bán","- Đầu tư XDCB hoàn thành > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,51.578.000,1.820.059.935,513.263.973,,2.384.901.908,,51578000.0,1820059935.0,513263973.0,,2384901908.0
- Giảm khác,- Đầu tư XDCB hoàn thành > - Giảm khác,- Giảm khác,30.000.000,31.121.810,,,,61.121.810,30000000.0,31121810.0,,,,61121810.0
4. Số dư cuối năm,- Đầu tư XDCB hoàn thành > 4. Số dư cuối năm,4. Số dư cuối năm,160.795.633.841,60.747.613.763,30.138.676.715,3.715.771.747,3.983.492.410,259.381.188.476,160795633841.0,60747613763.0,30138676715.0,3715771747.0,3983492410.0,259381188476.0
II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn lũy kế > 1. Số dư đầu năm,1. Số dư đầu năm,33.663.626.932,2.559.761.194,4.586.771.417,1.277.580.177,428.947.158,42.516.686.878,33663626932.0,2559761194.0,4586771417.0,1277580177.0,428947158.0,42516686878.0
2. Khấu hao trong năm,II. Giá trị hao mòn lũy kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,36.163.353.147,29.135.233.138,9.780.526.850,925.329.296,312.004.333,76.316.446.764,36163353147.0,29135233138.0,9780526850.0,925329296.0,312004333.0,76316446764.0
- Khấu hao trong năm,II. Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.887.564.042,482.471.391,1.972.238.048,422.175.329,98.987.164,7.863.435.974,4887564042.0,482471391.0,1972238048.0,422175329.0,98987164.0,7863435974.0
- Tăng khác,II. Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,31.275.789.105,28.652.761.747,7.808.288.802,503.153.967,213.017.169,68.453.010.790,31275789105.0,28652761747.0,7808288802.0,503153967.0,213017169.0,68453010790.0
3. Giảm trong năm,II. Giá trị hao mòn lũy kế > 3. Giảm trong năm,3. Giảm trong năm,20.595.919.936,82.699.810,1.646.161.935,513.263.973,,22.838.045.654,20595919936.0,82699810.0,1646161935.0,513263973.0,,22838045654.0
- Chuyển sang BDS đầu tư,II. Giá trị hao mòn lũy kế > - Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,20.590.893.646,,,,,20.590.893.646,20590893646.0,,,,,20590893646.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,51.578.000,1.646.161.935,513.263.973,,2.211.003.908,,51578000.0,1646161935.0,513263973.0,,2211003908.0
- Giảm khác,II. Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,5.026.290,31.121.810,,,,36.148.100,5026290.0,31121810.0,,,,36148100.0
4. Số dư cuối năm,II. Giá trị hao mòn lũy kế > 4. Số dư cuối năm,4. Số dư cuối năm,49.231.060.143,31.612.294.522,12.721.136.332,1.689.645.500,740.951.491,95.995.087.988,49231060143.0,31612294522.0,12721136332.0,1689645500.0,740951491.0,95995087988.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,102.187.752.223,2.277.760.603,2.809.844.544,905.266.212,3.069.305.841,111.249.929.423,102187752223.0,2277760603.0,2809844544.0,905266212.0,3069305841.0,111249929423.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,111.564.573.698,29.135.319.241,17.417.540.383,2.026.126.247,3.242.540.919,163.386.100.488,111564573698.0,29135319241.0,17417540383.0,2026126247.0,3242540919.0,163386100488.0
