row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm 2020,Năm 2019,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm 2020,numeric__Năm 2019
,,,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
01,01,01,Lợi nhuận trước thuế,,624.305.442.889,871.739.467.430,,,624305442889.0,871739467430.0
01,01,01,2. Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,- Khấu hao TSCĐ và BĐSĐT,,291.287.520.557,213.115.015.078,,,291287520557.0,213115015078.0
03,01 > 03,03,- Các khoản dự phòng,,31.823.763.668,16.280.029.045,,,31823763668.0,16280029045.0
04,01 > 04,04,- Lãi/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(328.775.136),3.380.399.985,,,-328775136.0,3380399985.0
05,01 > 05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(408.081.310.236),(105.744.109.097),,,-408081310236.0,-105744109097.0
06,01 > 06,06,- Chi phí lãi vay,,518.022.543.070,253.532.957.320,,,518022543070.0,253532957320.0
07,07,07,- Các khoản điều chỉnh khác,,,,,,,
08,07 > 08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.057.029.184.812,1.252.303.759.761,,,1057029184812.0,1252303759761.0
09,07 > 09,09,"- Tăng, giảm các khoản phải thu",,(206.707.756.581),692.681.630.665,,,-206707756581.0,692681630665.0
10,07 > 10,10,"- Tăng, giảm hàng tồn kho",,(174.862.140.894),(583.807.617.160),,,-174862140894.0,-583807617160.0
11,07 > 11,11,"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(6.806.876.811),104.281.744.277,,,-6806876811.0,104281744277.0
12,07 > 12,12,"- Tăng, giảm chi phí trả trước",,14.667.163.575,(311.735.275.344),,,14667163575.0,-311735275344.0
13,13,13,"- Tăng, giảm chứng khoán kinh doanh",,,,,,,
14,13 > 14,14,- Tiền lãi vay đã trả,,(516.296.024.145),(342.121.216.167),,,-516296024145.0,-342121216167.0
15,13 > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(29.084.462.823),(48.841.640.042),,,-29084462823.0,-48841640042.0
16,13 > 16,16,- Tiền thu khác từ hoạt động kinh doanh,,6.735.654.500,,,,6735654500.0,
17,13 > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,(634.938.182),,,,-634938182.0,
20,13 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,144.039.803.451,762.761.385.990,,,144039803451.0,762761385990.0
20,20,20,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
21,20 > 21,21,"- Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(2.157.693.022.691),(2.945.067.188.394),,,-2157693022691.0,-2945067188394.0
22,20 > 22,22,"- Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,164.192.763.348,8.883.124.264,,,164192763348.0,8883124264.0
23,20 > 23,23,"- Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(1.276.903.000.000),(1.338.063.246.447),,,-1276903000000.0,-1338063246447.0
24,20 > 24,24,"- Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,1.642.874.132.362,1.717.027.636.414,,,1642874132362.0,1717027636414.0
25,20 > 25,25,- Tiền chi đầu tư góp vốn vào đơn vị khác,,,(402.500.000.000),,,,-402500000000.0
26,26,26,- Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,,,
27,26 > 27,27,"- Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,125.028.432.549,165.519.082.781,,,125028432549.0,165519082781.0
30,26 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(1.502.500.694.432),(2.794.200.591.382),,,-1502500694432.0,-2794200591382.0
