row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_1,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_2,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_3,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_4,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_5,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_6,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_1,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_2,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_3,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_4,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_5,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo)_6
,,,Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,,,,,,
- Ngân hàng TMCP Thịnh Vượng và Phát triển - CN An Giang,b) Vay dài hạn - VND > - Ngân hàng TMCP Thịnh Vượng và Phát triển - CN An Giang,- Ngân hàng TMCP Thịnh Vượng và Phát triển - CN An Giang,387.939.450.000,387.939.450.000,423.183.000.000,35.243.550.000,,,387939450000.0,387939450000.0,423183000000.0,35243550000.0,,
- Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,b) Vay dài hạn - VND > - Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,- Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,274.456.673.853,274.456.673.853,286.390.673.853,11.934.000.000,,,274456673853.0,274456673853.0,286390673853.0,11934000000.0,,
- Đối tượng khác,b) Vay dài hạn - VND > - Đối tượng khác,- Đối tượng khác,1.026.948.762.152,1.026.948.762.152,940.612.697.127,665.543.473.000,751.879.538.025,751.879.538.025,1026948762152.0,1026948762152.0,940612697127.0,665543473000.0,751879538025.0,751879538025.0
Vay dài hạn - USD,b) Vay dài hạn - VND > Vay dài hạn - USD,Vay dài hạn - USD,1.594.382.400.000,1.594.382.400.000,1.992.978.000.000,398.595.600.000,,,1594382400000.0,1594382400000.0,1992978000000.0,398595600000.0,,
- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,b) Vay dài hạn - VND > - Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,1.594.382.400.000,1.594.382.400.000,1.992.978.000.000,398.595.600.000,,,1594382400000.0,1594382400000.0,1992978000000.0,398595600000.0,,
Bên liên quan,b) Vay dài hạn - VND > Bên liên quan,Bên liên quan,90.630.000.000,90.630.000.000,1.547.070.000.000,1.996.430.000.000,539.990.000.000,539.990.000.000,90630000000.0,90630000000.0,1547070000000.0,1996430000000.0,539990000000.0,539990000000.0
- Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,b) Vay dài hạn - VND > - Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,- Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,,,26.700.000.000,199.700.000.000,173.000.000.000,173.000.000.000,,,26700000000.0,199700000000.0,173000000000.0,173000000000.0
