row_label_raw,row_label_full,col_0,31/12/2017,31/12/2016,numeric__31/12/2017,numeric__31/12/2016
,,,Triệu VND,Triệu VND,,
Dự phòng cụ thể,Dự phòng cụ thể,Dự phòng cụ thể,(210.115),(100.675),-210115.0,-100675.0
Dự phòng chung,Dự phòng chung,Dự phòng chung,(402.819),(343.304),-402819.0,-343304.0
,,,(612.934),(443.979),-612934.0,-443979.0
Chỉ tiết tăng/giảm dự phòng rủi ro tín dụng:,Chỉ tiết tăng/giảm dự phòng rủi ro tín dụng:,Chỉ tiết tăng/giảm dự phòng rủi ro tín dụng:,Chỉ tiết tăng/giảm dự phòng rủi ro tín dụng:,Chỉ tiết tăng/giảm dự phòng rủi ro tín dụng:,,
,,,Dự phòng chung,Dự phòng cụ thể,,
,,,Triệu VND,Triệu VND,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,(343.304),(100.675),-343304.0,-100675.0
Dự phòng rủi ro trích lập trong năm,Năm nay > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(59.515),(109.440),-59515.0,-109440.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,(402.819),(210.115),-402819.0,-210115.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,(310.016),(172.426),-310016.0,-172426.0
(Dự phòng rủi ro trích lập trong năm)/Hoàn nhập dự phòng rủi ro trong năm,Năm trước > (Dự phòng rủi ro trích lập trong năm)/Hoàn nhập dự phòng rủi ro trong năm,(Dự phòng rủi ro trích lập trong năm)/Hoàn nhập dự phòng rủi ro trong năm,(33.288),71.751,-33288.0,71751.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,(343.304),(100.675),-343304.0,-100675.0
