row_label_raw,row_label_full,col_0,Năm 2021,Năm 2020,numeric__Năm 2021,numeric__Năm 2020
,,,Triệu VND,Triệu VND,,
- Thuế TNDN phải nộp đầu năm,- Thuế TNDN phải nộp đầu năm,- Thuế TNDN phải nộp đầu năm,42.357,55.989,42357.0,55989.0
- Thuế TNDN đã nộp trong năm,- Thuế TNDN đã nộp trong năm,- Thuế TNDN đã nộp trong năm,(182.810),(159.699),-182810.0,-159699.0
Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,40.823,42.357,40823.0,42357.0
31.2 . Chi phí thuế TNDN hoãn lại,31.2 . Chi phí thuế TNDN hoãn lại,31.2 . Chi phí thuế TNDN hoãn lại,31.2 . Chi phí thuế TNDN hoãn lại,31.2 . Chi phí thuế TNDN hoãn lại,,
,,,Năm 2021,Năm 2020,,
,,,Triệu VND,Triệu VND,,
Chi phí thuế TNDN hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,31.2 . Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,Chi phí thuế TNDN hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,750,952,750.0,952.0
Tổng chi phí thuế TNDN hoãn lại,31.2 . Chi phí thuế TNDN hoãn lại > Tổng chi phí thuế TNDN hoãn lại,Tổng chi phí thuế TNDN hoãn lại,750,952,750.0,952.0
32 . Tiền và các khoản tương đương tiền,32 . Tiền và các khoản tương đương tiền,32 . Tiền và các khoản tương đương tiền,32 . Tiền và các khoản tương đương tiền,32 . Tiền và các khoản tương đương tiền,,
,,,31/12/2021,31/12/2020,,
,,,Triệu VND,Triệu VND,,
Tiền mặt và các khoản tương đương tiền tại quỹ,32 . Tiền và các khoản tương đương tiền > Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,649.952,638.946,649952.0,638946.0
Tiền gửi tại Ngân hàng Nhà nước,32 . Tiền và các khoản tương đương tiền > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.023.135,730.267,1023135.0,730267.0
Tiền gửi tại các TCTD khác (gồm không kỳ hạn và có kỳ hạn không quá 03 tháng),32 . Tiền và các khoản tương đương tiền > Tiền gửi tại các TCTD khác (gồm không kỳ hạn và có kỳ hạn không quá 03 tháng),Tiền gửi tại các TCTD khác (gồm không kỳ hạn và có kỳ hạn không quá 03 tháng),8.680.350,11.778.379,8680350.0,11778379.0
Chứng khoán có thời hạn thu hồi hoặc đáo hạn không quá 03 tháng kể từ ngày kết thúc năm tài chính,32 . Tiền và các khoản tương đương tiền > Chứng khoán có thời hạn thu hồi hoặc đáo hạn không quá 03 tháng kể từ ngày kết thúc năm tài chính,Chứng khoán có thời hạn thu hồi hoặc đáo hạn không quá 03 tháng kể từ ngày kết thúc năm tài chính,600.000,2.649.924,600000.0,2649924.0
,,,10.953.437,15.797.516,10953437.0,15797516.0
"33 . Tinh hình thu nhập của cán bộ, công nhân viên","33 . Tinh hình thu nhập của cán bộ, công nhân viên","33 . Tinh hình thu nhập của cán bộ, công nhân viên","33 . Tinh hình thu nhập của cán bộ, công nhân viên","33 . Tinh hình thu nhập của cán bộ, công nhân viên",,
,,,Năm 2021,Năm 2020,,
"I. Tổng số cán bộ, công nhân viên","33 . Tinh hình thu nhập của cán bộ, công nhân viên > I. Tổng số cán bộ, công nhân viên","I. Tổng số cán bộ, công nhân viên",2.702,2.512,2702.0,2512.0
"II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên",,,,
1. Tổng quỹ lương,"II. Thu nhập của cán bộ, công nhân viên > 1. Tổng quỹ lương",1. Tổng quỹ lương,619.813,576.812,619813.0,576812.0
2. Thu nhập khác,"II. Thu nhập của cán bộ, công nhân viên > 2. Thu nhập khác",2. Thu nhập khác,27.594,25.257,27594.0,25257.0
3. Tổng thu nhập (1+2),"II. Thu nhập của cán bộ, công nhân viên > 3. Tổng thu nhập (1+2)",3. Tổng thu nhập (1+2),647.407,602.069,647407.0,602069.0
4. Tiền lương bình quân (triệu VND/người/tháng),"II. Thu nhập của cán bộ, công nhân viên > 4. Tiền lương bình quân (triệu VND/người/tháng)",4. Tiền lương bình quân (triệu VND/người/tháng),"19,12","19,14",19.12,19.14
5. Thu nhập bình quân hàng tháng (triệu VND/người/tháng),"II. Thu nhập của cán bộ, công nhân viên > 5. Thu nhập bình quân hàng tháng (triệu VND/người/tháng)",5. Thu nhập bình quân hàng tháng (triệu VND/người/tháng),"19,97","19,97",19.97,19.97
