row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,4.029.079.718.235,4.636.295.316.380,,300.0,,4029079718235.0,4636295316380.0
I.,I.,I.,Nợ ngắn hạn,310,,4.029.079.718.235,4.636.295.316.380,,310.0,,4029079718235.0,4636295316380.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.13,3.780.215.172.325,4.527.398.385.111,,311.0,,3780215172325.0,4527398385111.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.14,1.445.709.084,48.988.880.825,,312.0,,1445709084.0,48988880825.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.15,14.511.587.250,11.632.695.526,,313.0,,14511587250.0,11632695526.0
4.,4.,4.,Phải trả người lao động,314,,9.352.878.141,1.504.428.392,,314.0,,9352878141.0,1504428392.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.16,2.548.750.000,1.631.818.604,,315.0,,2548750000.0,1631818604.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,,-,-,,318.0,,,
9.,9.,9.,Phải trả ngắn hạn khác,319,V.17,59.998.560.435,12.439.107.922,,319.0,,59998560435.0,12439107922.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.18,161.007.061.000,32.700.000.000,,320.0,,161007061000.0,32700000000.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,,-,-,,322.0,,,
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,-,-,,330.0,,,
1.,1.,1.,Phải trả người bán dài hạn,331,,-,-,,331.0,,,
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chi phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,,-,-,,336.0,,,
7.,7.,7.,Phải trả dài hạn khác,337,,-,-,,337.0,,,
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,,-,-,,338.0,,,
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
