row_label_raw,row_label_full,col_0,Số đầu năm(trình bày trước đây),Ảnh hưởng củadiều chỉnh lại,Số đầu năm(đã điều chỉnh lại),numeric__Số đầu năm(trình bày trước đây),numeric__Ảnh hưởng củadiều chỉnh lại,numeric__Số đầu năm(đã điều chỉnh lại)
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,265.635.247.960,(50.000.000.000),215.635.247.960,265635247960.0,-50000000000.0,215635247960.0
Phải thu ngắn hạn củakhách hàng,Phải thu ngắn hạn củakhách hàng,Phải thu ngắn hạn củakhách hàng,2.714.759.937.080,50.000.000.000,2.764.759.937.080,2714759937080.0,50000000000.0,2764759937080.0
"Phải thu ngắn hạn khácĐầu tư vào công ty liên doanh, liên kết","Phải thu ngắn hạn khácĐầu tư vào công ty liên doanh, liên kết","Phải thu ngắn hạn khácĐầu tư vào công ty liên doanh, liên kết",32.882.305.836,19.640.362.522,52.522.668.358,32882305836.0,19640362522.0,52522668358.0
"Phải thu ngắn hạn khácĐầu tư vào công ty liên doanh, liên kết","Phải thu ngắn hạn khácĐầu tư vào công ty liên doanh, liên kết","Phải thu ngắn hạn khácĐầu tư vào công ty liên doanh, liên kết",63.274.638.996,(19.640.362.522),43.634.276.474,63274638996.0,-19640362522.0,43634276474.0
Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,359.554.248.281,(25.501.418.309),334.052.829.972,359554248281.0,-25501418309.0,334052829972.0
Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,447.766.157.987,(28.434.845.376),419.331.312.611,447766157987.0,-28434845376.0,419331312611.0
Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,Tài sản cố định hữu hìnhNguyên giáGiá trị khấu hao lũy kế,(88.211.909.706),2.933.427.067,(85.278.482.639),-88211909706.0,2933427067.0,-85278482639.0
Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,181.615.095.040,25.501.418.309,207.116.513.349,181615095040.0,25501418309.0,207116513349.0
Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,182.203.026.000,28.434.845.376,210.637.871.376,182203026000.0,28434845376.0,210637871376.0
Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,Tài sản cố định vô hìnhNguyên giáGiá trị hao mòn lũy kế,(587.930.960),(2.933.427.067),(3.521.358.027),-587930960.0,-2933427067.0,-3521358027.0
