row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,5.641.031.044.668,5.204.230.720.499,5641031044668.0,5204230720499.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hoạt động chăn nuôi,Trong đó: > Doanh thu hoạt động chăn nuôi,Doanh thu hoạt động chăn nuôi,3.328.279.587.321,1.209.866.958.051,3328279587321.0,1209866958051.0
Doanh thu bán nông sản,Trong đó: > Doanh thu bán nông sản,Doanh thu bán nông sản,2.301.658.870.470,3.934.989.047.800,2301658870470.0,3934989047800.0
Doanh thu bán cấm,Trong đó: > Doanh thu bán cấm,Doanh thu bán cấm,10.852.533.200,35.195.735.944,10852533200.0,35195735944.0
Doanh thu bán bất động sản đầu tư,Trong đó: > Doanh thu bán bất động sản đầu tư,Doanh thu bán bất động sản đầu tư,-,23.856.502.596,,23856502596.0
Doanh thu cho thuê,Trong đó: > Doanh thu cho thuê,Doanh thu cho thuê,-,90.000.001,,90000001.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,240.053.677,232.476.107,240053677.0,232476107.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(345.310.400),(5.445.425.109),-345310400.0,-5445425109.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(345.310.400),(5.346.019.109),-345310400.0,-5346019109.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,-,(54.900.000),,-54900000.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,-,(44.506.000),,-44506000.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,5.640.685.734.268,5.198.785.295.390,5640685734268.0,5198785295390.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,5.452.013.727.883,5.015.212.134.402,5452013727883.0,5015212134402.0
Doanh thu đối với các bên liên quan(Thuyết minh số 34),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 34),Doanh thu đối với các bên liên quan(Thuyết minh số 34),188.672.006.385,183.573.160.988,188672006385.0,183573160988.0
