row_label_raw,row_label_full,col_0,31/12/2018Triệu đồng,31/12/2017Triệu đồng,numeric__31/12/2018Triệu đồng,numeric__31/12/2017Triệu đồng
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,161.859.416,160.200.470,161859416.0,160200470.0
- Bằng VND,- Bằng VND,- Bằng VND,144.113.810,143.845.414,144113810.0,143845414.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,17.745.606,16.355.056,17745606.0,16355056.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,820.032.450,694.092.410,820032450.0,694092410.0
- Bằng VND,- Bằng VND,- Bằng VND,787.378.554,660.705.596,787378554.0,660705596.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,32.653.896,33.386.814,32653896.0,33386814.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,7.779.289,5.692.293,7779289.0,5692293.0
- Bằng VND,- Bằng VND,- Bằng VND,3.891.948,4.516.633,3891948.0,4516633.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,3.887.341,1.175.660,3887341.0,1175660.0
,,,989.671.155,859.985.173,989671155.0,859985173.0
