row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,Triệu VND,Triệu VND,,
Chứng khoán Nợ,Chứng khoán Nợ,Chứng khoán Nợ,5.667.929,154.664,5667929.0,154664.0
"Chứng khoán Chính phủ, chính quyền địa phương","Chứng khoán Chính phủ, chính quyền địa phương","Chứng khoán Chính phủ, chính quyền địa phương",5.667.929,104.331,5667929.0,104331.0
Chứng khoán do các TCKT trong nước phát hành,Chứng khoán do các TCKT trong nước phát hành,Chứng khoán do các TCKT trong nước phát hành,-,50.333,,50333.0
Chứng khoán Vốn,Chứng khoán Vốn,Chứng khoán Vốn,712.450,635.546,712450.0,635546.0
Chứng khoán Vốn do các TCTD trong nước phát hành,Chứng khoán Vốn do các TCTD trong nước phát hành,Chứng khoán Vốn do các TCTD trong nước phát hành,149.497,77.106,149497.0,77106.0
Chứng khoán Vốn do các TCKT trong nước phát hành,Chứng khoán Vốn do các TCKT trong nước phát hành,Chứng khoán Vốn do các TCKT trong nước phát hành,562.430,557.949,562430.0,557949.0
Chứng khoán Vốn do các TCTD nước ngoài phát hành,Chứng khoán Vốn do các TCTD nước ngoài phát hành,Chứng khoán Vốn do các TCTD nước ngoài phát hành,523,491,523.0,491.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,(34.189),(116.571),-34189.0,-116571.0
,,,6.346.190,673.639,6346190.0,673639.0
