row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụngcụ quản lý,TSCDhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụngcụ quản lý,numeric__TSCDhửu hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,6.467.132,4.899.370,1.355.202,177.226,123.994,13.022.924,6467132.0,4899370.0,1355202.0,177226.0,123994.0,13022924.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,2.369,211.169,50.843,978,7.807,273.166,2369.0,211169.0,50843.0,978.0,7807.0,273166.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,77.628,60.681,12.393,9.748,2.685,163.135,77628.0,60681.0,12393.0,9748.0,2685.0,163135.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(22.674),(77.008),(32.119),(4.451),(3.763),(140.015),-22674.0,-77008.0,-32119.0,-4451.0,-3763.0,-140015.0
Tăng khác,Nguyên giá TSCĐ hữu hình > Tăng khác,Tăng khác,20,1.403,-,-,67,1.490,20.0,1403.0,,,67.0,1490.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,6.524.475,5.095.615,1.386.319,183.501,130.790,13.320.700,6524475.0,5095615.0,1386319.0,183501.0,130790.0,13320700.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.312.054,3.731.441,975.993,152.398,105.020,7.276.906,2312054.0,3731441.0,975993.0,152398.0,105020.0,7276906.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,275.477,364.941,105.383,12.368,9.663,767.832,275477.0,364941.0,105383.0,12368.0,9663.0,767832.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(17.247),(76.864),(32.119),(4.451),(3.763),(134.444),-17247.0,-76864.0,-32119.0,-4451.0,-3763.0,-134444.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,540,403,-,-,-,943,540.0,403.0,,,,943.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.570.824,4.019.921,1.049.257,160.315,110.920,7.911.237,2570824.0,4019921.0,1049257.0,160315.0,110920.0,7911237.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,4.155.078,1.167.929,379.209,24.828,18.974,5.746.018,4155078.0,1167929.0,379209.0,24828.0,18974.0,5746018.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,3.953.651,1.075.694,337.062,23.186,19.870,5.409.463,3953651.0,1075694.0,337062.0,23186.0,19870.0,5409463.0
