row_label_raw,row_label_full,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày,numeric__Điều chỉnh,numeric__Số trình bày lại
BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,,,
Thu nhập lãi và các khoản thu nhập tương tự,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,121.110.719,(109.986),121.000.733,121110719.0,-109986.0,121000733.0
Thu nhập lãi thuần,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập lãi thuần,Thu nhập lãi thuần,56.069.684,(109.986),55.959.698,56069684.0,-109986.0,55959698.0
Thu nhập từ hoạt động dịch vụ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,10.344.181,1.393,10.345.574,10344181.0,1393.0,10345574.0
Chi phí hoạt động dịch vụ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(4.696.116),1.968,(4.694.148),-4696116.0,1968.0,-4694148.0
Lãi thuần từ hoạt động dịch vụ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,5.648.065,3.361,5.651.426,5648065.0,3361.0,5651426.0
Thu nhập từ hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,6.526.421,3.731,6.530.152,6526421.0,3731.0,6530152.0
Chi phí từ hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(2.316.094),29,(2.316.065),-2316094.0,29.0,-2316065.0
Lãi thuần từ hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,4.210.327,3.760,4.214.087,4210327.0,3760.0,4214087.0
Chi phí khấu hao và khấu trừ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(1.057.770),(69),(1.057.839),-1057770.0,-69.0,-1057839.0
