row_label_raw,row_label_full,col_0,Thuyết minh,2024Triệu VND,2023Triệu VND,numeric__Thuyết minh,numeric__2024Triệu VND,numeric__2023Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được Chi phí lãi và các chi phí tương tự đã trả,Thu nhập lãi và các khoản thu nhập tương tự nhận được Chi phí lãi và các chi phí tương tự đã trả,Thu nhập lãi và các khoản thu nhập tương tự nhận được Chi phí lãi và các chi phí tương tự đã trả,,135.683.986(86.044.709),149.297.819(88.243.401),,,
"Thu nhập từ hoạt động dịch vụ nhận được Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, chứng khoán","Thu nhập lãi và các khoản thu nhập tương tự nhận được Chi phí lãi và các chi phí tương tự đã trả > Thu nhập từ hoạt động dịch vụ nhận được Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, chứng khoán","Thu nhập từ hoạt động dịch vụ nhận được Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, chứng khoán",,7.074.445,6.569.871,,7074445.0,6569871.0
Chi hoạt động khác,Chi hoạt động khác,Chi hoạt động khác,,10.853.510(3.117.574),8.389.150(3.373.336),,,
"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro",,8.108.024(25.803.145),5.431.863(23.440.129),,,
Tiền chi trả cho nhân viên và hoạt động quản lý công vụ,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro > Tiền chi trả cho nhân viên và hoạt động quản lý công vụ",Tiền chi trả cho nhân viên và hoạt động quản lý công vụ,,(6.884.931),(4.551.443),,-6884931.0,-4551443.0
Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro > Tiền thuế thu nhập doanh nghiệp thực nộp trong năm",Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,23,,,23.0,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và nợ hoạt động,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và nợ hoạt động",Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và nợ hoạt động,,39.869.606,50.080.394,,39869606.0,50080394.0
Những thay đối về tài sản hoạt động,Những thay đối về tài sản hoạt động,Những thay đối về tài sản hoạt động,Những thay đối về tài sản hoạt động,Những thay đối về tài sản hoạt động,Những thay đối về tài sản hoạt động,,,
"Tăng các khoản tiền, vàng gửi tại và cho vay các TCTD khác (Tăng)/giảm các khoản về kinh doanh chứng khoán (Tăng)/giảm các công cụ tài chính phải sinh và các tài sản tài chính khác","Tăng các khoản tiền, vàng gửi tại và cho vay các TCTD khác (Tăng)/giảm các khoản về kinh doanh chứng khoán (Tăng)/giảm các công cụ tài chính phải sinh và các tài sản tài chính khác","Tăng các khoản tiền, vàng gửi tại và cho vay các TCTD khác (Tăng)/giảm các khoản về kinh doanh chứng khoán (Tăng)/giảm các công cụ tài chính phải sinh và các tài sản tài chính khác",,(8.638.554)(66.507.396),(1.064.184)8.284.842,,,
