row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,122.025.756.862,150.918.034.220,122025756862.0,150918034220.0
Chi phí vật liệu quản lý,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,1.897.976.025,2.441.767.786,1897976025.0,2441767786.0
Chi phí đồ dùng văn phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,8.332.656.151,4.886.254.999,8332656151.0,4886254999.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,29.087.509.955,33.539.369.177,29087509955.0,33539369177.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,36.745.152.973,60.366.455.797,36745152973.0,60366455797.0
Chi phí khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khác,Chi phí khác,71.205.324.673,137.272.665.961,71205324673.0,137272665961.0
,,,269.294.376.639,389.424.547.940,269294376639.0,389424547940.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,36.473.929.039,43.737.677.004,36473929039.0,43737677004.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,147.736.383.372,147.736.383.372,147736383372.0,147736383372.0
Chi phí vận chuyển bán sản phẩm,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,273.750.896.356,394.795.375.482,273750896356.0,394795375482.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,91.161.409.525,126.845.599.083,91161409525.0,126845599083.0
Chi phí khác,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác,Chi phí khác,2.750.505.473,999.980.008,2750505473.0,999980008.0
,,,551.873.123.765,714.115.014.949,551873123765.0,714115014949.0
