row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nhân công,Chi phí nhân công,1.358.793.093.818,987.417.207.416,1358793093818.0,987417207416.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",144.454.157.522,110.143.488.336,144454157522.0,110143488336.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,73.407.926.757,69.580.907.898,73407926757.0,69580907898.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,16.130.663.393,11.565.663.135,16130663393.0,11565663135.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,365.663.364.428,190.447.613.958,365663364428.0,190447613958.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dự phòng,Chi phí dự phòng,6.739.536.798,38.964.144.607,6739536798.0,38964144607.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khác,Chi phí khác,256.982.143.610,234.777.740.827,256982143610.0,234777740827.0
,,,2.222.170.886.326,1.642.896.766.177,2222170886326.0,1642896766177.0
Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí nhân công,Chi phí nhân công,204.081.657.189,151.919.817.212,204081657189.0,151919817212.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.855.932.193,3.447.606.309,3855932193.0,3447606309.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,25.695.536.899,48.828.862.925,25695536899.0,48828862925.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,8.238.223.788,7.268.185.517,8238223788.0,7268185517.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,69.892.487.211,68.656.920.851,69892487211.0,68656920851.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dự phòng,Chi phí dự phòng,1.404.846.717,21.674.860.356,1404846717.0,21674860356.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khác,Chi phí khác,93.093.304.901,45.889.441.528,93093304901.0,45889441528.0
,,,406.261.988.898,347.685.694.698,406261988898.0,347685694698.0
,,,2.628.432.875.224,1.990.582.460.875,2628432875224.0,1990582460875.0
