row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
100,100,100,A. TÀI SẢN NGẮN HẠN,,44.962.828.647.427,30.331.405.841.759,,,44962828647427.0,30331405841759.0
110,110,110,I. Tiền và các khoản tương đương tiền,6,3.789.197.489.323,2.883.458.103.350,,6.0,3789197489323.0,2883458103350.0
111,111,111,1. Tiền,,1.600.597.489.316,1.384.131.258.722,,,1600597489316.0,1384131258722.0
112,112,112,2. Các khoản tương đương tiền,,2.188.600.000.007,1.499.326.844.628,,,2188600000007.0,1499326844628.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,31.164.822.649.629,20.834.911.560.198,,,31164822649629.0,20834911560198.0
121,121,121,1. Chứng khoán kinh doanh,15.1,2.648.743.079.467,2.754.408.712.617,,151.0,2648743079467.0,2754408712617.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,15.1,(297.888.188.831),(349.504.452.363),,151.0,-297888188831.0,-349504452363.0
123,123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,15.2,28.813.967.758.993,18.430.007.299.944,,152.0,28813967758993.0,18430007299944.0
130,130,130,III. Các khoản phải thu ngắn hạn,7.1,6.915.645.602.099,4.706.940.319.124,,71.0,6915645602099.0,4706940319124.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,,5.437.601.516.671,3.466.446.831.573,,,5437601516671.0,3466446831573.0
131.1,131.1,131.1,1.1 Phải thu về hoạt động bảo hiểm,,2.353.195.084.768,1.313.441.346.281,,,2353195084768.0,1313441346281.0
131.2,131.2,131.2,1.2 Phải thu về hoạt động đầu tư tài chính,,3.084.406.431.903,2.153.005.485.292,,,3084406431903.0,2153005485292.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,22.478.515.959,220.390.172.983,,,22478515959.0,220390172983.0
135,135,135,3. Phải thu về cho vay ngắn hạn,,1.408.715.229.254,919.682.055.427,,,1408715229254.0,919682055427.0
136,136,136,4. Phải thu ngắn hạn khác,,443.666.412.911,476.718.729.919,,,443666412911.0,476718729919.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(397.018.937.203),(376.500.335.285),,,-397018937203.0,-376500335285.0
139,139,139,6. Tài sản thiếu chờ xử lý,,202.864.507,202.864.507,,,202864507.0,202864507.0
140,140,140,IV. Hàng tồn kho,8,144.572.406.356,118.799.477.849,,8.0,144572406356.0,118799477849.0
150,150,150,V. Tài sản ngắn hạn khác,,603.935.685.514,471.008.304.527,,,603935685514.0,471008304527.0
151,151,151,1. Chi phí trả trước ngắn hạn,,565.835.345.145,457.355.457.431,,,565835345145.0,457355457431.0
151.1,151.1,151.1,1.1 Chi phí hoa hồng chưa phân bổ,9,518.158.616.567,428.005.012.101,,9.0,518158616567.0,428005012101.0
151.2,151.2,151.2,1.2 Chi phí trả trước ngắn hạn khác,10,47.676.728.578,29.350.445.330,,10.0,47676728578.0,29350445330.0
152,152,152,2. Thuế GTGT được khấu trừ,,30.372.462.150,3.530.125.211,,,30372462150.0,3530125211.0
155,155,155,3. Tài sản ngắn hạn khác,,7.727.878.219,10.122.721.885,,,7727878219.0,10122721885.0
190,190,190,VI. Tài sản tải bảo hiểm,,2.344.654.814.506,1.316.288.076.711,,,2344654814506.0,1316288076711.0
191,191,191,1. Dự phòng phí nhượng tái bảo hiểm,24,976.386.202.557,709.578.730.959,,24.0,976386202557.0,709578730959.0
192,192,192,2. Dự phòng bởi thường nhượng tái bảo hiểm,24,1.368.268.611.949,606.709.345.752,,24.0,1368268611949.0,606709345752.0
