row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,780.929.638.922,(143.443.252.400),637.486.386.522,755.631.964.433,780929638922.0,-143443252400.0,637486386522.0,755631964433.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,392.637.584.922,(95.139.500.000),297.498.084.922,534.541.342.100,392637584922.0,-95139500000.0,297498084922.0,534541342100.0
- Cổ phiếu chưa niêm yết,Tài sản tài chính > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,343.292.054.000,(48.303.752.400),294.988.301.600,156.817.622.333,343292054000.0,-48303752400.0,294988301600.0,156817622333.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,45.000.000.000,-,45.000.000.000,64.273.000.000,45000000000.0,,45000000000.0,64273000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.635.657.828.681,(280.825.700.000),2.354.832.128.681,2.406.526.813.252,2635657828681.0,-280825700000.0,2354832128681.0,2406526813252.0
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,1.106.391.256.939,(164.000.000.000),942.391.256.939,948.621.982.874,1106391256939.0,-164000000000.0,942391256939.0,948621982874.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,1.529.266.571.742,(116.825.700.000),1.412.440.871.742,1.457.904.830.378,1529266571742.0,-116825700000.0,1412440871742.0,1457904830378.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,456.460.730.202,-,456.460.730.202,456.460.730.202,456460730202.0,,456460730202.0,456460730202.0
- Phải thu khác từ các bên liên quan,Tài sản tài chính > - Phải thu khác từ các bên liên quan,- Phải thu khác từ các bên liên quan,38.531.726.955,-,38.531.726.955,38.531.726.955,38531726955.0,,38531726955.0,38531726955.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,402.596.619.127,-,402.596.619.127,402.596.619.127,402596619127.0,,402596619127.0,402596619127.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,15.332.384.120,-,15.332.384.120,15.332.384.120,15332384120.0,,15332384120.0,15332384120.0
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,236.778.859.306,-,236.778.859.306,236.778.859.306,236778859306.0,,236778859306.0,236778859306.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,4.109.827.057.111,(424.268.952.400),3.685.558.104.711,3.855.398.367.193,4109827057111.0,-424268952400.0,3685558104711.0,3855398367193.0
