row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022VND,Ngày 31 tháng 12năm 2021VND,numeric__Ngày 31 tháng 12năm 2022VND,numeric__Ngày 31 tháng 12năm 2021VND
Phải thu dịch vụ CNTT,Phải thu dịch vụ CNTT,Phải thu dịch vụ CNTT,Phải thu dịch vụ CNTT,Phải thu dịch vụ CNTT,,
Bảo Việt Nhân thọ,Phải thu dịch vụ CNTT > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,48.664.244.650,45.331.330.927,48664244650.0,45331330927.0
Bảo hiểm Bảo Việt,Phải thu dịch vụ CNTT > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,24.313.356.215,22.860.171.908,24313356215.0,22860171908.0
BVF,Phải thu dịch vụ CNTT > BVF,BVF,457.974.324,570.853.600,457974324.0,570853600.0
BVSC,Phải thu dịch vụ CNTT > BVSC,BVSC,120.760.504,831.101.913,120760504.0,831101913.0
BVInvest,Phải thu dịch vụ CNTT > BVInvest,BVInvest,80.715.485,80.572.855,80715485.0,80572855.0
Bảo Việt Bank,Phải thu dịch vụ CNTT > Bảo Việt Bank,Bảo Việt Bank,292.981.470,929.687.849,292981470.0,929687849.0
,,,73.930.032.648,70.603.719.052,73930032648.0,70603719052.0
Phải thu dịch vụ cho thuê văn phòng,Phải thu dịch vụ cho thuê văn phòng,Phải thu dịch vụ cho thuê văn phòng,Phải thu dịch vụ cho thuê văn phòng,Phải thu dịch vụ cho thuê văn phòng,,
BVInvest,Phải thu dịch vụ cho thuê văn phòng > BVInvest,BVInvest,17.246.697.011,15.695.443.193,17246697011.0,15695443193.0
Bảo hiểm Bảo Việt,Phải thu dịch vụ cho thuê văn phòng > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,244.706.000,94.806.489,244706000.0,94806489.0
Công ty khác,Phải thu dịch vụ cho thuê văn phòng > Công ty khác,Công ty khác,831.975.000,1.754.212.080,831975000.0,1754212080.0
,,,18.323.378.011,17.544.461.762,18323378011.0,17544461762.0
Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,,
Bảo hiểm Bảo Việt,Phải thu dịch vụ đào tạo > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,-,227.560.590,,227560590.0
,,,-,227.560.590,,227560590.0
TỔNG CỘNG,Phải thu dịch vụ đào tạo > TỔNG CỘNG,TỔNG CỘNG,92.253.410.659,88.375.741.404,92253410659.0,88375741404.0
