row_label_raw,row_label_full,Tại 31/12/2015,Dưới 1 nămVND > Tại 31/12/2015,Từ 1-5 nămVND > Tại 31/12/2015,Sau 5 nămVND > Tại 31/12/2015,TổngVND > Tại 31/12/2015,numeric__Dưới 1 nămVND > Tại 31/12/2015,numeric__Từ 1-5 nămVND > Tại 31/12/2015,numeric__Sau 5 nămVND > Tại 31/12/2015,numeric__TổngVND > Tại 31/12/2015
Tiền,Tiền,Tiền,34.918.531.024,-,-,34.918.531.024,34918531024.0,,,34918531024.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,240.082.775.091,26.004.211.000,-,266.086.986.091,240082775091.0,26004211000.0,,266086986091.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,10.000.000,-,-,10.000.000,10000000.0,,,10000000.0
Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,5.135.100.000,-,-,5.135.100.000,5135100000.0,,,5135100000.0
Cộng,Cộng,Cộng,280.146.406.115,26.004.211.000,-,306.150.617.115,280146406115.0,26004211000.0,,306150617115.0
31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,,,,
Các khoản vay,31/12/2015 > Các khoản vay,Các khoản vay,-,103.015.116.651,-,103.015.116.651,,103015116651.0,,103015116651.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,107.351.706.481,3.729.225.734,-,111.080.932.215,107351706481.0,3729225734.0,,111080932215.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,21.237.398.452,-,-,21.237.398.452,21237398452.0,,,21237398452.0
Cộng,31/12/2015 > Cộng,Cộng,128.589.104.933,106.744.342.385,-,235.333.447.318,128589104933.0,106744342385.0,,235333447318.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,151.557.301.182,(80.740.131.385),-,70.817.169.797,151557301182.0,-80740131385.0,,70817169797.0
