row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2016 > VND,01/01/2016 > VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2016 > VND,numeric__01/01/2016 > VND
100,100,100,A. TÀI SẢN NGẮN HẠN,,202.672.020.212,461.391.120.212,,,202672020212.0,461391120212.0
110,110,110,I. Tiền và các khoản tương đương tiền,3,10.090.570.395,323.851.714.244,,3.0,10090570395.0,323851714244.0
111,111,111,1. Tiền,,10.090.570.395,323.851.714.244,,,10090570395.0,323851714244.0
130,130,130,III. Các khoản phải thu ngắn hạn,,182.755.494.614,137.539.405.968,,,182755494614.0,137539405968.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,5,130.592.561.149,127.725.117.182,,5.0,130592561149.0,127725117182.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6,37.357.948.795,880.240.621,,6.0,37357948795.0,880240621.0
136,136,136,3. Phải thu ngắn hạn khác,7,20.195.984.994,14.325.048.489,,7.0,20195984994.0,14325048489.0
137,137,137,4. Dự phòng phải thu ngắn hạn khó đòi,,(5.391.000.324),(5.391.000.324),,,-5391000324.0,-5391000324.0
140,140,140,IV. Hàng tồn kho,9,1.088.106.785,-,,9.0,1088106785.0,
141,141,141,1. Hàng tồn kho,,1.088.106.785,-,,,1088106785.0,
150,150,150,V. Tài sản ngắn hạn khác,,8.737.848.418,-,,,8737848418.0,
151,151,151,1. Chi phí trả trước ngắn hạn,12,8.737.848.418,-,,12.0,8737848418.0,
200,200,200,B. TÀI SẢN DÀI HẠN,,691.733.213.518,27.027.411.225,,,691733213518.0,27027411225.0
210,210,210,I. Các khoản phải thu dài hạn,,651.970.992.058,2.421.520.000,,,651970992058.0,2421520000.0
216,216,216,1. Phải thu dài hạn khác,7,651.970.992.058,2.421.520.000,,7.0,651970992058.0,2421520000.0
220,220,220,II. Tài sản cố định,,8.711.207.771,5.313.370.618,,,8711207771.0,5313370618.0
221,221,221,1. Tài sản cố định hữu hình,10,8.178.957.272,4.962.638.029,,10.0,8178957272.0,4962638029.0
222,222,222,- Nguyên giá,,12.686.621.807,8.354.032.320,,,12686621807.0,8354032320.0
223,223,223,- Giá trị hao mòn luỹ kế,,(4.507.664.535),(3.391.394.291),,,-4507664535.0,-3391394291.0
227,227,227,2. Tài sản cố định vô hình,11,532.250.499,350.732.589,,11.0,532250499.0,350732589.0
228,228,228,- Nguyên giá,,752.881.069,445.500.000,,,752881069.0,445500000.0
229,229,229,- Giá trị hao mòn luỹ kế,,(220.630.570),(94.767.411),,,-220630570.0,-94767411.0
250,250,250,V. Đầu tư tài chính dài hạn,4,24.000.000.000,-,,4.0,24000000000.0,
251,251,251,1. Đầu tư vào công ty con,,24.000.000.000,-,,,24000000000.0,
260,260,260,VI. Tài sản dài hạn khác,,7.051.013.689,19.292.520.607,,,7051013689.0,19292520607.0
261,261,261,1. Chi phí trả trước dài hạn,12,7.051.013.689,19.292.520.607,,12.0,7051013689.0,19292520607.0
270,270,270,TỔNG CỘNG TÀI SẢN,,894.405.233.730,488.418.531.437,,,894405233730.0,488418531437.0
