row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2016 > VND,01/01/2016 > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2016 > VND,numeric__01/01/2016 > VND
300,300,300,C. NỘ PHẢI TRẢ,,568.148.318.410,271.332.010.144,,,568148318410.0,271332010144.0
310,310,310,I. Nợ ngắn hạn,,568.148.318.410,270.598.119.144,,,568148318410.0,270598119144.0
311,311,311,1. Phải trả người bán ngắn hạn,14,25.492.733.311,86.301.176.007,,14.0,25492733311.0,86301176007.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,15,72.511.066.665,5.495.440.179,,15.0,72511066665.0,5495440179.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,16,56.185.076.125,25.104.641.467,,16.0,56185076125.0,25104641467.0
314,314,314,4. Phải trả người lao động,,49.141.817.315,45.892.405.137,,,49141817315.0,45892405137.0
319,319,319,5. Phải trả ngắn hạn khác,17,15.593.832.659,31.393.792.354,,17.0,15593832659.0,31393792354.0
320,320,320,6. Vay và nợ thuê tài chính ngắn hạn,13,329.875.000.000,76.410.664.000,,13.0,329875000000.0,76410664000.0
322,322,322,7. Quỹ khen thưởng phúc lợi,,19.348.792.335,-,,,19348792335.0,
330,330,330,II. Nợ dài hạn,,-,733.891.000,,,,733891000.0
338,338,338,1. Vay và nợ thuê tài chính dài hạn,13,-,733.891.000,,13.0,,733891000.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,326.256.915.320,217.086.521.293,,,326256915320.0,217086521293.0
410,410,410,I. Vốn chủ sở hữu,18,326.256.915.320,217.086.521.293,,18.0,326256915320.0,217086521293.0
411,411,411,1. Vốn góp của chủ sở hữu,,130.000.000.000,130.000.000.000,,,130000000000.0,130000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,130.000.000.000,130.000.000.000,,,130000000000.0,130000000000.0
418,418,418,2. Quỹ đầu tư phát triển,,12.899.194.890,-,,,12899194890.0,
421,421,421,3. Lợi nhuận sau thuế chưa phân phối,,183.357.720.430,87.086.521.293,,,183357720430.0,87086521293.0
421a,421a,421a,- LNST chưa phân phối lũy kế đến cuối năm trước,,54.365.771.538,22.033.896.607,,,54365771538.0,22033896607.0
421b,421b,421b,- LNST chưa phân phối năm nay,,128.991.948.892,65.052.624.686,,,128991948892.0,65052624686.0
