row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.369.091.412,1.121.602.727,40.909.342.859,15.360.203.040,173.760.240.038,116369091412.0,1121602727.0,40909342859.0,15360203040.0,173760240038.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,110.819.149,284.254.545,9.141.848.876,1.818.386.325,11.355.308.895,110819149.0,284254545.0,9141848876.0,1818386325.0,11355308895.0
- Phân loại từ tài sản thuê tài chính,Nguyên giá > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,460.800.000,-,-,460.800.000,,460800000.0,,,460800000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.300.389.091),-,(1.300.389.091),,,-1300389091.0,,-1300389091.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,1.866.657.272,48.750.802.644,17.178.589.365,184.275.959.842,116479910561.0,1866657272.0,48750802644.0,17178589365.0,184275959842.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.160.977.477,370.545.673,14.441.219.764,7.397.240.144,30.369.983.058,8160977477.0,370545673.0,14441219764.0,7397240144.0,30369983058.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.255.101.802,255.709.400,5.513.977.141,3.642.714.855,13.667.503.198,4255101802.0,255709400.0,5513977141.0,3642714855.0,13667503198.0
- Hao mòn phân loại từ tài sản thuê tài chính,Giá trị hao mòn lũy kế > - Hao mòn phân loại từ tài sản thuê tài chính,- Hao mòn phân loại từ tài sản thuê tài chính,-,460.800.000,-,-,460.800.000,,460800000.0,,,460800000.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(697.808.494),-,(697.808.494),,,-697808494.0,,-697808494.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.416.079.279,1.087.055.073,19.257.388.411,11.039.954.999,43.800.477.762,12416079279.0,1087055073.0,19257388411.0,11039954999.0,43800477762.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,108.208.113.935,751.057.054,26.468.123.095,7.962.962.896,143.390.256.980,108208113935.0,751057054.0,26468123095.0,7962962896.0,143390256980.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,104.063.831.282,779.602.199,29.493.414.233,6.138.634.366,140.475.482.080,104063831282.0,779602199.0,29493414233.0,6138634366.0,140475482080.0
