row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thăng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,800.000.000.000,150.000.000.000,36.000.000.000,(1.080.000),65.392.096.174,851.036.074.812,1.902.427.090.986,800000000000.0,150000000000.0,36000000000.0,-1080000.0,65392096174.0,851036074812.0,1902427090986.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,959.998.000.000,-,-,-,-,-,959.998.000.000,959998000000.0,,,,,,959998000000.0
Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,159.999.080.000,-,-,-,-,(159.999.080.000),-,159999080000.0,,,,,-159999080000.0,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,446.082.186.395,446.082.186.395,,,,,,446082186395.0,446082186395.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,95.998.490.000,-,-,-,24.596.642.177,(137.812.781.702),(17.217.649.525),95998490000.0,,,,24596642177.0,-137812781702.0,-17217649525.0
Hạch toán tiền thuế theo quyết định thanh tra,Hạch toán tiền thuế theo quyết định thanh tra,Hạch toán tiền thuế theo quyết định thanh tra,-,-,-,-,-,(528.542.454),(528.542.454),,,,,,-528542454.0,-528542454.0
Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(200.550.000),-,-,-,-,(200.550.000),,-200550000.0,,,,,-200550000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.015.995.570.000,149.799.450.000,36.000.000.000,(1.080.000),89.988.738.351,998.777.857.051,3.290.560.535.402,2015995570000.0,149799450000.0,36000000000.0,-1080000.0,89988738351.0,998777857051.0,3290560535402.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.015.995.570.000,149.799.450.000,36.000.000.000,(1.080.000),89.988.738.351,998.777.857.051,3.290.560.535.402,2015995570000.0,149799450000.0,36000000000.0,-1080000.0,89988738351.0,998777857051.0,3290560535402.0
Tăng vốn trong năm nay (1),Tăng vốn trong năm nay (1),Tăng vốn trong năm nay (1),2.015.994.490.000,-,-,-,-,-,2.015.994.490.000,2015994490000.0,,,,,,2015994490000.0
Lãi trong năm này,Lãi trong năm này,Lãi trong năm này,-,-,-,-,-,188.972.468.791,188.972.468.791,,,,,,188972468791.0,188972468791.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,22.899.125.760,(659.753.181.824),(32.058.776.064),,,,,22899125760.0,-659753181824.0,-32058776064.0
Trả cổ tức bằng cổ phiếu (2),Trả cổ tức bằng cổ phiếu (2),Trả cổ tức bằng cổ phiếu (2),604.795.280.000,-,-,-,-,(604.795.280.000),-,604795280000.0,,,,,-604795280000.0,
"Trích quỹ khen thưởng, phúc lợi (3)","Trích quỹ khen thưởng, phúc lợi (3)","Trích quỹ khen thưởng, phúc lợi (3)",-,-,-,-,-,(32.058.776.064),(32.058.776.064),,,,,,-32058776064.0,-32058776064.0
Trích quỹ đầu tư phát triển (3),Trích quỹ đầu tư phát triển (3),Trích quỹ đầu tư phát triển (3),-,-,-,-,22.899.125.760,(22.899.125.760),-,,,,,22899125760.0,-22899125760.0,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,475.130.264,475.130.264,,,,,,475130264.0,475130264.0
Chi phí phát hành chào bán cổ phiếu (phí chuyển tiền),Chi phí phát hành chào bán cổ phiếu (phí chuyển tiền),Chi phí phát hành chào bán cổ phiếu (phí chuyển tiền),-,(550.000),-,-,-,-,(550.000),,-550000.0,,,,,-550000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),112.887.864.111,528.472.274.282,5.463.943.298.393,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,112887864111.0,528472274282.0,5463943298393.0
