row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2024 > VND,Năm 2023 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2024 > VND,numeric__Năm 2023 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,26,1.538.002.600.367,1.026.200.764.186,,26.0,1538002600367.0,1026200764186.0
02,02,02,2. Các khoản giảm trừ doanh thu,27,-,92.452.222.338,,27.0,,92452222338.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,1.538.002.600.367,933.748.541.848,,,1538002600367.0,933748541848.0
11,11,11,4. Giá vốn hàng bán,28,1.248.568.714.419,750.856.864.297,,28.0,1248568714419.0,750856864297.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,289.433.885.948,182.891.677.551,,,289433885948.0,182891677551.0
21,21,21,6. Doanh thu hoạt động tài chính,29,49.119.025.471,64.827.391.853,,29.0,49119025471.0,64827391853.0
22,22,22,7. Chi phí tài chính,30,91.661.139.506,89.178.157.416,,30.0,91661139506.0,89178157416.0
23,23,23,Trong đó: Chi phí lãi vay,,72.849.382.038,89.178.157.416,,,72849382038.0,89178157416.0
24,24,24,"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,-,-,,,,
25,24 > 25,25,9. Chi phí bán hàng,31,19.166.518.809,16.557.023.750,,31.0,19166518809.0,16557023750.0
26,24 > 26,26,10. Chi phí quản lý doanh nghiệp,32,133.438.031.897,138.154.848.029,,32.0,133438031897.0,138154848029.0
30,24 > 30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,94.287.221.207,3.829.040.209,,,94287221207.0,3829040209.0
31,24 > 31,31,12. Thu nhập khác,33,2.215.493.804,9.441.320.185,,33.0,2215493804.0,9441320185.0
32,24 > 32,32,13. Chi phí khác,34,39.208.652.613,8.363.047.734,,34.0,39208652613.0,8363047734.0
40,24 > 40,40,14. Lợi nhuận khác,,(36.993.158.809),1.078.272.451,,,-36993158809.0,1078272451.0
50,24 > 50,50,15. Tổng lợi nhuận kế toán trước thuế,,57.294.062.398,4.907.312.660,,,57294062398.0,4907312660.0
51,24 > 51,51,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,35,15.507.558.845,2.851.958.127,,35.0,15507558845.0,2851958127.0
52,52,52,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
60,52 > 60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,41.786.503.553,2.055.354.533,,,41786503553.0,2055354533.0
61,52 > 61,61,19. Lợi nhuận sau thuế của Công ty mẹ,,41.048.046.349,2.003.729.301,,,41048046349.0,2003729301.0
62,52 > 62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,738.457.204,51.625.232,,,738457204.0,51625232.0
