row_label_raw,row_label_full,col_0,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo)_1,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo)_1
,,,Tài sản,Công nợ,,
,,,Triệu VND,Triệu VND,,
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2015 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,-,117.619,,117619.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2015 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,-,23.589,,23589.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31/12/2015 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,-,94.030,,94030.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2014 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,-,415.778,,415778.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2014 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,-,428.012,,428012.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31/12/2014 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,-,(12.234),,-12234.0
