row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019triệu đồng,%,Ngày 31 tháng 12năm 2018triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2018triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,42.213.282,"4,51",35.753.678,"4,13",42213282.0,4.51,35753678.0,4.13
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,33.347.654,"3,57",38.958.135,"4,50",33347654.0,3.57,38958135.0,4.5
Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,6.628.148,"0,71",6.559.862,"0,76",6628148.0,0.71,6559862.0,0.76
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,210.675.358,"22,53",192.470.350,"22,25",210675358.0,22.53,192470350.0,22.25
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,35.845.575,"3,83",32.583.840,"3,77",35845575.0,3.83,32583840.0,3.77
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,264.881.824,"28,32",247.586.087,"28,64",264881824.0,28.32,247586087.0,28.64
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,48.495,"0,01",25.244,"0,00",48495.0,0.01,25244.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,12.450.347,"1,33",12.548.898,"1,45",12450347.0,1.33,12548898.0,1.45
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,50.541.116,"5,40",48.063.597,"5,56",50541116.0,5.4,48063597.0,5.56
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.365.946,"0,15",1.338.775,"0,15",1365946.0,0.15,1338775.0,0.15
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",274.787.877,"29,37",246.593.889,"28,51",274787877.0,29.37,246593889.0,28.51
"Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội",1.553.548,"0,17",2.173.765,"0,25",1553548.0,0.17,2173765.0,0.25
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,931.775,"0,10",269.828,"0,03",931775.0,0.1,269828.0,0.03
,,,935.270.945,100,864.925.948,100,935270945.0,100.0,864925948.0,100.0
