row_label_raw,row_label_full,col_0,2020(triệu đồng)Số đã trình bày,Điều chỉnh,2020(triệu đồng)Trình bày lại,numeric__2020(triệu đồng)Số đã trình bày,numeric__Điều chỉnh,numeric__2020(triệu đồng)Trình bày lại
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,82.736.084,(1.201),82.734.883,82736084.0,-1201.0,82734883.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,34.851.742,(1.201),34.850.541,34851742.0,-1201.0,34850541.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,5.996.070,15.146,6.011.216,5996070.0,15146.0,6011216.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,3.762.174,15.146,3.777.320,3762174.0,15146.0,3777320.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.482.759,19.688,2.502.447,2482759.0,19688.0,2502447.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.745.714,19.688,1.765.402,1745714.0,19688.0,1765402.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(15.128.069),15.920,(15.112.149),-15128069.0,15920.0,-15112149.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,28.474.813,49.553,28.524.366,28474813.0,49553.0,28524366.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(12.026.232),(20.978),(12.047.210),-12026232.0,-20978.0,-12047210.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,16.448.581,28.575,16.477.156,16448581.0,28575.0,16477156.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(3.192.734),(5.715),(3.198.449),-3192734.0,-5715.0,-3198449.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(3.192.734),(5.715),(3.198.449),-3192734.0,-5715.0,-3198449.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,13.255.847,22.860,13.278.707,13255847.0,22860.0,13278707.0
