row_label_raw,row_label_full,col_0,Tài sản,Công nợ,Giá trị thuần,numeric__Tài sản,numeric__Công nợ,numeric__Giá trị thuần
,,,Triệu VND,Triệu VND,Triệu VND,,,
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2022 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,3.169.129,-,3.169.129,3169129.0,,3169129.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2022 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,127.406,-,127.406,127406.0,,127406.0
- Giao dịch hoán đổi tiền tệ,Tại ngày 31/12/2022 > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,3.041.723,-,3.041.723,3041723.0,,3041723.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31/12/2022 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,-,(91.277),(91.277),,-91277.0,-91277.0
,,,3.169.129,(91.277),3.077.852,3169129.0,-91277.0,3077852.0
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2021 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,1.296.937,-,1.296.937,1296937.0,,1296937.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2021 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,130.202,-,130.202,130202.0,,130202.0
- Giao dịch hoán đổi tiền tệ,Tại ngày 31/12/2021 > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,1.166.735,-,1.166.735,1166735.0,,1166735.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31/12/2021 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,157.853,-,157.853,157853.0,,157853.0
,,,1.454.790,-,1.454.790,1454790.0,,1454790.0
