row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,Triệu VND,Triệu VND,,
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,
Tiền gửi không kỳ hạn,Tiền gửi tại các TCTD khác > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,187.679.595,131.889.409,187679595.0,131889409.0
- Bằng VND,Tiền gửi tại các TCTD khác > - Bằng VND,- Bằng VND,86.748.801,68.966.706,86748801.0,68966706.0
- Bằng ngoại tệ,Tiền gửi tại các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,100.930.794,62.922.703,100930794.0,62922703.0
Tiền gửi có kỳ hạn,Tiền gửi tại các TCTD khác > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,72.526.574,92.092.302,72526574.0,92092302.0
- Bằng VND,Tiền gửi tại các TCTD khác > - Bằng VND,- Bằng VND,23.680.000,30.350.000,23680000.0,30350000.0
- Bằng ngoại tệ,Tiền gửi tại các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,48.846.574,61.742.302,48846574.0,61742302.0
,,,260.206.169,223.981.711,260206169.0,223981711.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,,
- Bằng VND,Cho vay các TCTD khác > - Bằng VND,- Bằng VND,7.597.604,16.017.932,7597604.0,16017932.0
- Bằng ngoại tệ,Cho vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,8.980.821,1.389.390,8980821.0,1389390.0
,,,16.578.425,17.407.322,16578425.0,17407322.0
Tổng tiền gửi và cho vay các TCTD khác,Cho vay các TCTD khác > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,276.784.594,241.389.033,276784594.0,241389033.0
