row_label_raw,row_label_full,Rùi ro lãi suất (tiếp theo),Rùi ro lãi suất (tiếp theo)_1,Rùi ro lãi suất (tiếp theo)_2,Rùi ro lãi suất (tiếp theo)_3,Rùi ro lãi suất (tiếp theo)_4,Rùi ro lãi suất (tiếp theo)_5,Rùi ro lãi suất (tiếp theo)_6,Rùi ro lãi suất (tiếp theo)_7,Rùi ro lãi suất (tiếp theo)_8,Rùi ro lãi suất (tiếp theo)_9,numeric__Rùi ro lãi suất (tiếp theo)_1,numeric__Rùi ro lãi suất (tiếp theo)_2,numeric__Rùi ro lãi suất (tiếp theo)_3,numeric__Rùi ro lãi suất (tiếp theo)_4,numeric__Rùi ro lãi suất (tiếp theo)_5,numeric__Rùi ro lãi suất (tiếp theo)_6,numeric__Rùi ro lãi suất (tiếp theo)_7,numeric__Rùi ro lãi suất (tiếp theo)_8,numeric__Rùi ro lãi suất (tiếp theo)_9
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Quả hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 tháng đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
Tải sản,Tại ngày 31 tháng 12 năm 2024 > Tải sản,Tải sản,,,,,,,,,11.009.260,,,,,,,,,11009260.0
"Tiền mặt, vàng bạc, đá quý","Tại ngày 31 tháng 12 năm 2024 > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,11.009.260,-,-,-,-,-,-,34.431.153,,11009260.0,,,,,,,34431153.0
Tiền gửi tại NHNN,Tại ngày 31 tháng 12 năm 2024 > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,34.431.153,-,-,-,-,-,-,374.863.906,,34431153.0,,,,,,,374863906.0
Tiền gửi và cho vay các TCTD khác (*),Tại ngày 31 tháng 12 năm 2024 > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,319.141.987,28.122.123,25.114.936,2.484.860,-,-,1.708.708.589,,,319141987.0,28122123.0,25114936.0,2484860.0,,,1708708589.0
Cho vay khách hàng (*),Tại ngày 31 tháng 12 năm 2024 > Cho vay khách hàng (*),Cho vay khách hàng (*),43.999.013,108.176,412.246.616,472.680.547,535.781.478,157.830.714,84.421.945,1.640.100,211.317.063,43999013.0,108176.0,412246616.0,472680547.0,535781478.0,157830714.0,84421945.0,1640100.0,211317063.0
Chứng khoản đầu tư (*),Tại ngày 31 tháng 12 năm 2024 > Chứng khoản đầu tư (*),Chứng khoản đầu tư (*),386.778,3.880.944,6.150.000,20.725.530,30.050.000,58.150.000,28.549.000,63.424.811,5.835.582,386778.0,3880944.0,6150000.0,20725530.0,30050000.0,58150000.0,28549000.0,63424811.0,5835582.0
"Gộp vốn, đầu tư dài hạn","Tại ngày 31 tháng 12 năm 2024 > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,5.835.582,-,-,-,-,-,-,9.745.660,,5835582.0,,,,,,,9745660.0
TSCĐ,Tại ngày 31 tháng 12 năm 2024 > TSCĐ,TSCĐ,-,9.745.360,-,-,-,-,-,-,41.465.365,,9745360.0,,,,,,,41465365.0
Tải sản Có khác (*),Tại ngày 31 tháng 12 năm 2024 > Tải sản Có khác (*),Tải sản Có khác (*),79.585,40.300.746,583.671,362.535,121.308,37.520,-,-,2.397.376.578,79585.0,40300746.0,583671.0,362535.0,121308.0,37520.0,,,2397376578.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2024 > Tổng tài sản,Tổng tài sản,44.465.376,105.311.521,738.102.274,521.890.735,591.067.722,218.503.094,112.970.945,65.064.911,154.284.104,44465376.0,105311521.0,738102274.0,521890735.0,591067722.0,218503094.0,112970945.0,65064911.0,154284104.0
Nợ phải trả,Tại ngày 31 tháng 12 năm 2024 > Nợ phải trả,Nợ phải trả,,,,,,,,,267.439.256,,,,,,,,,267439256.0
Các khoản nợ Chính phủ và NHNN,Tại ngày 31 tháng 12 năm 2024 > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,96.401.051,57.395.000,104.547,383.506,-,-,1.603.421.091,,,96401051.0,57395000.0,104547.0,383506.0,,,1603421091.0
Tiền gửi và vay các TCTD khác,Tại ngày 31 tháng 12 năm 2024 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,262.177.947,2.552.681,2.671.108,37.520,-,-,398.121,,,262177947.0,2552681.0,2671108.0,37520.0,,,398121.0
Tiền gửi của khách hàng,Tại ngày 31 tháng 12 năm 2024 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,718.236.957,323.237.510,245.035.120,261.646.345,55.124.796,140.363,2.079.503,,,718236957.0,323237510.0,245035120.0,261646345.0,55124796.0,140363.0,2079503.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tại ngày 31 tháng 12 năm 2024 > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,398.121,-,-,-,-,-,151.853.590,,,398121.0,,,,,,151853590.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Tại ngày 31 tháng 12 năm 2024 > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,1.544.138,535.365,-,-,-,37.946.821,,,,1544138.0,535365.0,,,,37946821.0
Phát hành giấy tờ có giả,Tại ngày 31 tháng 12 năm 2024 > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,1.132.230,4.624.620,27.996.530,104.979.510,4.525.700,8.595.000,2.217.422.486,,,1132230.0,4624620.0,27996530.0,104979510.0,4525700.0,8595000.0,2217422486.0
Các khoản nợ khác,Tại ngày 31 tháng 12 năm 2024 > Các khoản nợ khác,Các khoản nợ khác,-,37.946.821,-,-,-,-,-,-,179.954.092,,37946821.0,,,,,,,179954092.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2024 > Tổng nợ phải trả,Tổng nợ phải trả,-,37.946.821,1.078.346.306,389.353.949,276.342.670,367.046.881,59.650.496,8.735.363,179.954.092,,37946821.0,1078346306.0,389353949.0,276342670.0,367046881.0,59650496.0,8735363.0,179954092.0
Mức chênh nhạy cảm với lãi suất nội bảng,Tại ngày 31 tháng 12 năm 2024 > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,44.465.376,67.364.700,(340.244.032),132.536.786,314.725.052,(148.543.787),53.320.449,56.329.548,179.954.092,44465376.0,67364700.0,-340244032.0,132536786.0,314725052.0,-148543787.0,53320449.0,56329548.0,179954092.0
