row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Sản xuất và bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Kinh doanh bất động sản và dịch vụ xây lắp > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,"Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày",Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Điều chỉnh và loại trừ > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Sản xuất và bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Kinh doanh bất động sản và dịch vụ xây lắp > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,"numeric__Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày",numeric__Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Điều chỉnh và loại trừ > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày: > Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,2.590.630.996.867,203.843.730.707,3.879.830.743.242,-,6.674.305.470.816,2590630996867.0,203843730707.0,3879830743242.0,,6674305470816.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,3.714.554.179.885,129.025.185.810,1.385.744.132.641,(5.229.323.498.336),-,3714554179885.0,129025185810.0,1385744132641.0,-5229323498336.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,6.305.185.176.752,332.868.916.517,5.265.574.875.883,(5.229.323.498.336),6.674.305.470.816,6305185176752.0,332868916517.0,5265574875883.0,-5229323498336.0,6674305470816.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,163.662.890.090,84.102.506.538,157.331.896.921,(11.738.579.236),393.358.714.313,163662890090.0,84102506538.0,157331896921.0,-11738579236.0,393358714313.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(15.598.538.389),(16.823.361.971),(701.459.800),-,(33.123.360.160),-15598538389.0,-16823361971.0,-701459800.0,,-33123360160.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,148.064.351.701,67.279.144.567,156.630.437.121,(11.738.579.236),360.235.354.153,148064351701.0,67279144567.0,156630437121.0,-11738579236.0,360235354153.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,5.998.748.955.165,482.032.913.803,3.540.235.710.148,(1.671.004.129.929),8.350.013.449.187,5998748955165.0,482032913803.0,3540235710148.0,-1671004129929.0,8350013449187.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,5.998.748.955.165,482.032.913.803,3.540.235.710.148,(2.286.616.020.561),7.734.401.558.555,5998748955165.0,482032913803.0,3540235710148.0,-2286616020561.0,7734401558555.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,615.611.890.632,615.611.890.632,,,,615611890632.0,615611890632.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,4.733.414.501.290,125.085.054.560,3.240.202.974.645,(2.495.217.498.944),5.603.485.031.551,4733414501290.0,125085054560.0,3240202974645.0,-2495217498944.0,5603485031551.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.733.414.501.290,125.085.054.560,3.240.202.974.645,(2.495.217.498.944),5.603.485.031.551,4733414501290.0,125085054560.0,3240202974645.0,-2495217498944.0,5603485031551.0
