row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,5.704.721.395.714,6.151.266.597.198,5704721395714.0,6151266597198.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.162.356.603.667,3.230.244.583.017,3162356603667.0,3230244583017.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",2.382.512.259.321,2.100.594.288.556,2382512259321.0,2100594288556.0
Doanh thu chuyển nhượng bất động sản,Trong đó > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,100.738.426.258,798.421.737.444,100738426258.0,798421737444.0
Doanh thu dịch vụ xây lắp,Trong đó > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,59.114.106.468,22.005.988.181,59114106468.0,22005988181.0
Các khoản giảm trừ doanh thu,Trong đó > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(66.562.823.057),(72.086.323.162),-66562823057.0,-72086323162.0
Chiết khấu thương mại,Trong đó > Chiết khấu thương mại,Chiết khấu thương mại,(63.358.527.362),(67.464.524.597),-63358527362.0,-67464524597.0
Hàng bán bị trả lại,Trong đó > Hàng bán bị trả lại,Hàng bán bị trả lại,(3.204.295.695),(4.621.798.565),-3204295695.0,-4621798565.0
Doanh thu thuần,Trong đó > Doanh thu thuần,Doanh thu thuần,5.638.158.572.657,6.079.180.274.036,5638158572657.0,6079180274036.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu bán thành phẩm,Trong đó > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.095.793.780.610,3.158.158.259.855,3095793780610.0,3158158259855.0
Doanh thu bán hàng hóa,Trong đó > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,2.382.512.259.321,2.100.594.288.556,2382512259321.0,2100594288556.0
Doanh thu chuyển nhượng bất động sản,Trong đó > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,100.738.426.258,798.421.737.444,100738426258.0,798421737444.0
Doanh thu dịch vụ xây lắp,Trong đó > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,59.114.106.468,22.005.988.181,59114106468.0,22005988181.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên thứ ba,Trong đó: > Doanh thu đối với bên thứ ba,Doanh thu đối với bên thứ ba,2.617.079.294.991,2.747.769.509.086,2617079294991.0,2747769509086.0
Doanh thu đối với bên liên quan(Thuyết minh số 30),Trong đó: > Doanh thu đối với bên liên quan(Thuyết minh số 30),Doanh thu đối với bên liên quan(Thuyết minh số 30),3.021.079.277.666,3.331.410.764.950,3021079277666.0,3331410764950.0
