row_label_raw,row_label_full,col_0,Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,287.573.048.187,354.167.097.494,287573048187.0,354167097494.0
- Peter Cremer Canada LTD,- Peter Cremer Canada LTD,- Peter Cremer Canada LTD,99.781.000.000,-,99781000000.0,
- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,42.261.177.500,-,42261177500.0,
- Cargill,- Cargill,- Cargill,74.207.542.500,122.042.351.813,74207542500.0,122042351813.0
- CJ International Asia Pte.LTD,- CJ International Asia Pte.LTD,- CJ International Asia Pte.LTD,52.424.604.935,24.399.761.623,52424604935.0,24399761623.0
- Marubeni Grain & Oilseeds Trading Asia,- Marubeni Grain & Oilseeds Trading Asia,- Marubeni Grain & Oilseeds Trading Asia,-,28.519.871.625,,28519871625.0
"- The Delong Co., INC","- The Delong Co., INC","- The Delong Co., INC",-,89.624.546.826,,89624546826.0
- Export Trading Commodities,- Export Trading Commodities,- Export Trading Commodities,-,18.228.944.016,,18228944016.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,18.898.723.252,71.351.621.591,18898723252.0,71351621591.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,275.114.606.777,260.158.877.228,275114606777.0,260158877228.0
Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 29),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 29),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 29),45.444.110.089,33.712.222.501,45444110089.0,33712222501.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,608.131.765.053,648.038.197.223,608131765053.0,648038197223.0
