row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Short-term,Short-term,Short-term,Short-term,Short-term,,
Tools and supplies,Tools and supplies,Tools and supplies,"37,437,560,501","26,979,513,489",,
Real estate brokerage fees,Real estate brokerage fees,Real estate brokerage fees,-,"262,027,518",,
Others,Others,Others,"4,239,037,546","4,050,602,975",,
TOTAL,TOTAL,TOTAL,"41,676,598,047","31,292,143,982",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Tools and supplies,Tools and supplies,Tools and supplies,"60,460,324,547","43,092,689,905",,
Breeding costs,Breeding costs,Breeding costs,"60,225,799,464","84,980,497,808",,
Others,Others,Others,"3,092,976,086","1,848,840,216",,
TOTAL,TOTAL,TOTAL,"123,779,100,097","129,922,027,929",,
