row_label_raw,row_label_full,col_0,Currency: VND,numeric__Currency: VND
,,,Machinery and equipment,
Cost:,Cost:,Cost:,Cost:,
Beginning balance,Beginning balance,Beginning balance,"522,996,433,455",
- Additional leases,- Additional leases,- Additional leases,"1,695,794,324",
- Transfer to tangible fixed assets,- Transfer to tangible fixed assets,- Transfer to tangible fixed assets,"(110,340,511,458)",
- Other reductions,- Other reductions,- Other reductions,"(5,475,186,667)",
Ending balance,Ending balance,Ending balance,"408,876,529,654",
Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,
Beginning balance,Beginning balance,Beginning balance,"115,816,279,638",
- Depreciation for the year,- Depreciation for the year,- Depreciation for the year,"59,266,231,468",
- Transfer to tangible fixed assets,- Transfer to tangible fixed assets,- Transfer to tangible fixed assets,"(50,059,285,803)",
- Other reductions,- Other reductions,- Other reductions,"(203,133,930)",
Ending balance,Ending balance,Ending balance,"124,820,091,373",
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,
Beginning balance,Beginning balance,Beginning balance,"407,180,153,817",
Ending balance,Ending balance,Ending balance,"284,056,438,281",
