row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Phải thu Tập đoàn Dầu khí Việt Nam,Phải thu Tập đoàn Dầu khí Việt Nam,Phải thu Tập đoàn Dầu khí Việt Nam,276.761.701.091,276.761.701.091,276761701091.0,276761701091.0
- Phải thu liên quan đến giai đoạn cố phần hóa (i),- Phải thu liên quan đến giai đoạn cố phần hóa (i),- Phải thu liên quan đến giai đoạn cố phần hóa (i),276.761.701.091,276.761.701.091,276761701091.0,276761701091.0
Phải thu thuê nhà thầu đối với lãi vay các khoản vay nước ngoài (ii),Phải thu thuê nhà thầu đối với lãi vay các khoản vay nước ngoài (ii),Phải thu thuê nhà thầu đối với lãi vay các khoản vay nước ngoài (ii),37.443.340.008,-,37443340008.0,
Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,23.079.153.422,27.045.577.779,23079153422.0,27045577779.0
Phải thu Công ty TNHH Dead Sea Works tiền chiết khấu hàng mua trong năm 2018,Phải thu Công ty TNHH Dead Sea Works tiền chiết khấu hàng mua trong năm 2018,Phải thu Công ty TNHH Dead Sea Works tiền chiết khấu hàng mua trong năm 2018,7.636.315.200,-,7636315200.0,
Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,3.415.569.792,6.147.410.887,3415569792.0,6147410887.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",335.000.000,325.000.000,335000000.0,325000000.0
Phải thu khác,Phải thu khác,Phải thu khác,1.395.825.190,1.570.525.091,1395825190.0,1570525091.0
,,,350.066.904.703,311.850.214.848,350066904703.0,311850214848.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ các bên liên quan (Chi tiết tại Thuyết minh số 35),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan (Chi tiết tại Thuyết minh số 35),Phải thu ngắn hạn khác từ các bên liên quan (Chi tiết tại Thuyết minh số 35),278.271.021.827,278.271.021.827,278271021827.0,278271021827.0
