row_label_raw,row_label_full,1.,Tổng doanh thu bán hàng và cung cấp dịch vụ,Năm nayVND,Năm trướcVND,numeric__Tổng doanh thu bán hàng và cung cấp dịch vụ,numeric__Năm nayVND,numeric__Năm trướcVND
,,,Doanh thu bán hàng hóa đã bán,316.711.728.581,257.350.997.403,,316711728581.0,257350997403.0
,,,Doanh thu bán thành phẩm đã bán,145.705.823.464,95.273.720.406,,145705823464.0,95273720406.0
,,,Doanh thu cung cấp dịch vụ,60.632.103.723,94.423.745.486,,60632103723.0,94423745486.0
,,,Doanh thu hợp đồng xây dựng,183.181.434.858,56.232.671.679,,183181434858.0,56232671679.0
,,,Doanh thu kinh doanh bất động sản,608.406.384.492,182.425.765.204,,608406384492.0,182425765204.0
,,,Doanh thu khác,-,6.315.724.250,,,6315724250.0
,,,Cộng,1.314.637.475.118,692.022.624.428,,1314637475118.0,692022624428.0
2.,2.,2.,Các khoản giảm trừ doanh thu,Năm nayVND,Năm trướcVND,,,
,,,Giảm giá hàng bán,-,4.701.945,,,4701945.0
,,,Hàng bán bị trả lại,162.708.886.794,36.792.675.729,,162708886794.0,36792675729.0
,,,Cộng,162.708.886.794,36.797.377.674,,162708886794.0,36797377674.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nayVND,Năm trướcVND,,,
,,,Doanh thu thuần bán hàng đã bán,316.711.728.581,257.350.997.403,,316711728581.0,257350997403.0
,,,Doanh thu thuần bán thành phẩm đã bán,145.705.823.464,95.269.018.461,,145705823464.0,95269018461.0
,,,Doanh thu thuần cung cấp dịch vụ,60.632.103.723,94.423.745.486,,60632103723.0,94423745486.0
,,,Doanh thu thuần hợp đồng xây dựng,183.181.434.858,56.232.671.679,,183181434858.0,56232671679.0
,,,Doanh thu thuần kinh doanh BĐS đầu tư,445.697.497.698,145.633.089.475,,445697497698.0,145633089475.0
,,,Doanh thu thuần kinh doanh khác,-,6.315.724.250,,,6315724250.0
,,,Cộng,1.151.928.588.324,655.225.246.754,,1151928588324.0,655225246754.0
4.,4.,4.,Giá vốn hàng bán,Năm nayVND,Năm trướcVND,,,
,,,Giá vốn của hàng hóa đã bán,292.158.109.491,242.932.608.291,,292158109491.0,242932608291.0
,,,Giá vốn của thành phẩm đã bán,118.993.015.249,79.342.453.656,,118993015249.0,79342453656.0
,,,Giá vốn của dịch vụ đã cung cấp,13.808.485.581,27.860.645.735,,13808485581.0,27860645735.0
,,,Giá vốn của hợp đồng xây dựng,145.449.621.367,42.808.251.236,,145449621367.0,42808251236.0
,,,Giá vốn kinh doanh bất động sản,262.784.641.319,98.303.765.718,,262784641319.0,98303765718.0
,,,Dự phòng giảm giá hàng tồn kho,148.650.000,-,,148650000.0,
,,,Cộng,833.342.523.007,491.247.724.636,,833342523007.0,491247724636.0
