row_label_raw,row_label_full,Trả trước cho người bán ngắn hạn,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Công ty CP ĐTPTXD Phước An,Công ty CP ĐTPTXD Phước An,Công ty CP ĐTPTXD Phước An,12.586.641.114,-,16.376.480.114,-,12586641114.0,,16376480114.0,
Công ty TNHH Phước An,Công ty TNHH Phước An,Công ty TNHH Phước An,3.382.964.777,-,19.725.294.000,-,3382964777.0,,19725294000.0,
Công ty Cổ Phần Công trình Giao thông 68,Công ty Cổ Phần Công trình Giao thông 68,Công ty Cổ Phần Công trình Giao thông 68,10.312.541.774,-,10.312.541.774,-,10312541774.0,,10312541774.0,
Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,6.374.848.000,-,-,,6374848000.0,,,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,19.193.486.631,-,17.148.736.523,-,19193486631.0,,17148736523.0,
Trả trước cho người bán là bên liên quan,Trả trước cho người bán là bên liên quan,Trả trước cho người bán là bên liên quan,147.599.530.342,-,1.443.081.087,-,147599530342.0,,1443081087.0,
Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,143.249.987.066,-,-,-,143249987066.0,,,
Công ty CP Bất Động Sản DIC,Công ty CP Bất Động Sản DIC,Công ty CP Bất Động Sản DIC,3.470.381.534,-,1.280.121.672,-,3470381534.0,,1280121672.0,
Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,879.161.742,-,-,-,879161742.0,,,
Công ty CP DIC Số 4,Công ty CP DIC Số 4,Công ty CP DIC Số 4,-,-,162.959.415,-,,,162959415.0,
Cộng,Cộng,Cộng,199.450.012.638,-,65.006.133.498,-,199450012638.0,,65006133498.0,
