row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,2.098.637.373.286,1.035.726.377.433,2098637373286.0,1035726377433.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,2.087.222.090.477,1.005.205.178.429,2087222090477.0,1005205178429.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,10.764.027.530,4.956.185.504,10764027530.0,4956185504.0
Doanh thu hoạt động xây dựng,Trong đó: > Doanh thu hoạt động xây dựng,Doanh thu hoạt động xây dựng,651.255.279,25.565.013.500,651255279.0,25565013500.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(113.026.778.037),(109.055.920.967),-113026778037.0,-109055920967.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(113.026.778.037),(109.055.920.967),-113026778037.0,-109055920967.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.985.610.595.249,926.670.456.466,1985610595249.0,926670456466.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,1.974.195.312.440,896.149.257.462,1974195312440.0,896149257462.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,10.764.027.530,4.956.185.504,10764027530.0,4956185504.0
Doanh thu hoạt động xây dựng,Trong đó: > Doanh thu hoạt động xây dựng,Doanh thu hoạt động xây dựng,651.255.279,25.565.013.500,651255279.0,25565013500.0
