row_label_raw,row_label_full,col_0,Unit: VND,numeric__Unit: VND
,,,Means of transport,
Original cost,Original cost,Original cost,Original cost,
Opening balance,Opening balance,Opening balance,-,
Financial lease during the year,Financial lease during the year,Financial lease during the year,"586,094,074",
Closing balance,Closing balance,Closing balance,"586,094,074",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
Opening balance,Opening balance,Opening balance,-,
Depreciation,Depreciation,Depreciation,"36,079,445",
Closing balance,Closing balance,Closing balance,"36,079,445",
Net book value,Net book value,Net book value,Net book value,
Opening,Opening,Opening,-,
Closing,Closing,Closing,"550,014,629",
