row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2018 VND,Năm 2017 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2018 VND,numeric__Năm 2017 VND
1. Doanh thu bán hàng & cung cấp dịch vụ,1. Doanh thu bán hàng & cung cấp dịch vụ,1. Doanh thu bán hàng & cung cấp dịch vụ,01,28,747.199.326.352,1.251.716.888.400,1.0,28.0,747199326352.0,1251716888400.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng & cc dịch vụ,3. Doanh thu thuần về bán hàng & cc dịch vụ,3. Doanh thu thuần về bán hàng & cc dịch vụ,10,,747.199.326.352,1.251.716.888.400,10.0,,747199326352.0,1251716888400.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,29,717.474.537.262,1.164.312.289.089,11.0,29.0,717474537262.0,1164312289089.0
5. Lợi nhuận gộp về bán hàng & cc dịch vụ,5. Lợi nhuận gộp về bán hàng & cc dịch vụ,5. Lợi nhuận gộp về bán hàng & cc dịch vụ,20,,29.724.789.090,87.404.599.311,20.0,,29724789090.0,87404599311.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,118.575.527.873,150.811.767.556,21.0,30.0,118575527873.0,150811767556.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,31,156.598.327.945,163.794.379.422,22.0,31.0,156598327945.0,163794379422.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,126.997.310.525,134.005.584.615,23.0,,126997310525.0,134005584615.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,32a,805.508.795,492.116.980,25.0,,805508795.0,492116980.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,32b,39.399.427.024,27.987.204.648,26.0,,39399427024.0,27987204648.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,(48.502.946.801),45.942.665.817,30.0,,-48502946801.0,45942665817.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,33,20.038.805.765,20.060.417.708,31.0,33.0,20038805765.0,20060417708.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,34,1.611.057.712,1.236.546.568,32.0,34.0,1611057712.0,1236546568.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,18.427.748.053,18.823.871.140,40.0,,18427748053.0,18823871140.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,(30.075.198.748),64.766.536.957,50.0,,-30075198748.0,64766536957.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,35,4.285.553.724,13.743.027.496,51.0,35.0,4285553724.0,13743027496.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,60,,(34.360.752.472),51.023.509.461,60.0,,-34360752472.0,51023509461.0
