row_label_raw,row_label_full,col_0,31/12/2019 > Giá gốc,31/12/2019 > Giá trị có thể thu hồi (*),31/12/2019 > Thời gian quá hạn,numeric__31/12/2019 > Giá gốc,numeric__31/12/2019 > Giá trị có thể thu hồi (*),numeric__31/12/2019 > Thời gian quá hạn
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,75.471.869.683,28.123.138.252,,75471869683.0,28123138252.0,
- Công ty TNHH MTV Việt Gia Phát,- Công ty TNHH MTV Việt Gia Phát,- Công ty TNHH MTV Việt Gia Phát,15.796.110.000,11.057.277.000,Từ 6 tháng - 1 năm,15796110000.0,11057277000.0,
- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,6.066.356.099,-,Từ 2 - 3 năm,6066356099.0,,
- Công ty CP Khoảng sản và Luyện kim Tây Nguyễn,- Công ty CP Khoảng sản và Luyện kim Tây Nguyễn,- Công ty CP Khoảng sản và Luyện kim Tây Nguyễn,3.464.870.300,-,Trên 3 năm,3464870300.0,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,50.144.533.284,17.065.861.252,Từ 6 tháng đến trên 3 năm,50144533284.0,17065861252.0,
Trả trước người bán,Trả trước người bán,Trả trước người bán,33.413.185.746,14.018.112.747,,33413185746.0,14018112747.0,
- Công ty TNHH KTKS Đức Sang,- Công ty TNHH KTKS Đức Sang,- Công ty TNHH KTKS Đức Sang,7.238.234.071,6.185.585.047,Trên 3 năm,7238234071.0,6185585047.0,
- Công ty TNHH MTV Nông trại Cư Bảng 1,- Công ty TNHH MTV Nông trại Cư Bảng 1,- Công ty TNHH MTV Nông trại Cư Bảng 1,15.204.370.000,7.602.185.000,Từ 1 - 2 năm,15204370000.0,7602185000.0,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,10.970.581.675,230.342.700,Từ 6 tháng đến trên 3 năm,10970581675.0,230342700.0,
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,54.122.763.912,19.575.004.632,,54122763912.0,19575004632.0,
- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,7.972.371.581,-,Trên 3 năm,7972371581.0,,
- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,18.186.100.000,-,Chưa quá hạn,18186100000.0,,
- Công ty CP Khoảng sản và Luyện kim Tây Nguyễn,- Công ty CP Khoảng sản và Luyện kim Tây Nguyễn,- Công ty CP Khoảng sản và Luyện kim Tây Nguyễn,21.888.986.557,15.322.290.590,Từ 6 tháng - 1 năm,21888986557.0,15322290590.0,
- Công ty TNHH ĐTXD CD Phước Hoàng Long,- Công ty TNHH ĐTXD CD Phước Hoàng Long,- Công ty TNHH ĐTXD CD Phước Hoàng Long,6.075.305.774,4.252.714.042,Từ 6 tháng - 1 năm,6075305774.0,4252714042.0,
Phải thu khác,Phải thu khác,Phải thu khác,48.166.183.566,21.826.856.114,,48166183566.0,21826856114.0,
- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,974.653.388,-,Trên 3 năm,974653388.0,,
- Công ty CP Trồng rừng và Cây Công Nghiệp ĐLGL,- Công ty CP Trồng rừng và Cây Công Nghiệp ĐLGL,- Công ty CP Trồng rừng và Cây Công Nghiệp ĐLGL,10.860.627.120,6.857.046.694,Từ 6 tháng đến 2 năm,10860627120.0,6857046694.0,
- Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,- Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,- Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,22.378.924.345,12.538.672.764,Từ 6 tháng đến 3 năm,22378924345.0,12538672764.0,
- Nguyễn Tiến Dũng,- Nguyễn Tiến Dũng,- Nguyễn Tiến Dũng,3.646.920.924,-,Trên 3 năm,3646920924.0,,
- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,- Công ty Cổ phần Chế biến Gỗ Đức Long Gia Lai,1.954.990.685,-,Trên 3 năm,1954990685.0,,
- Đỗ Thanh,- Đỗ Thanh,- Đỗ Thanh,1.398.114.694,-,Trên 3 năm,1398114694.0,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,6.951.952.410,2.431.136.656,Từ 2 năm đến trên 3 năm,6951952410.0,2431136656.0,
Cộng,Cộng,Cộng,211.174.002.907,83.543.111.745,,211174002907.0,83543111745.0,
