row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu của các bên liên quan,Phải thu của các bên liên quan,Phải thu của các bên liên quan,22.920.806.588,19.854.109.647,22920806588.0,19854109647.0
- Công ty CP Dịch vụ Công cộng Đức Long Bảo Lộc,- Công ty CP Dịch vụ Công cộng Đức Long Bảo Lộc,- Công ty CP Dịch vụ Công cộng Đức Long Bảo Lộc,16.746.045.256,15.433.148.315,16746045256.0,15433148315.0
- Công ty TNHH Đức Long Dung Quát,- Công ty TNHH Đức Long Dung Quát,- Công ty TNHH Đức Long Dung Quát,4.420.961.332,4.420.961.332,4420961332.0,4420961332.0
- Công ty CP Tập đoàn Alpha Seven,- Công ty CP Tập đoàn Alpha Seven,- Công ty CP Tập đoàn Alpha Seven,1.753.800.000,-,1753800000.0,
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,849.878.898.314,911.067.150.969,849878898314.0,911067150969.0
- Ông Lý Trần Tiến,- Ông Lý Trần Tiến,- Ông Lý Trần Tiến,391.021.500.000,391.021.500.000,391021500000.0,391021500000.0
- Ông Nguyễn Tuấn Vũ,- Ông Nguyễn Tuấn Vũ,- Ông Nguyễn Tuấn Vũ,133.295.100.000,136.400.000.000,133295100000.0,136400000000.0
- Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyên,- Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyên,- Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyên,81.628.692.427,76.611.779.427,81628692427.0,76611779427.0
- Azad International (HK) Ltd.,- Azad International (HK) Ltd.,- Azad International (HK) Ltd.,68.657.434.903,47.304.043.259,68657434903.0,47304043259.0
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,175.276.170.984,259.729.828.283,175276170984.0,259729828283.0
Cộng,Cộng,Cộng,872.799.704.902,930.921.260.616,872799704902.0,930921260616.0
