row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm,Giá trị giao dịch cho năm_1,numeric__Giá trị giao dịch cho năm,numeric__Giá trị giao dịch cho năm_1
,,,2021VND,2020VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,1.777.024.047,3.500.856.770,1777024047.0,3500856770.0
Chi phí lãi vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay,Chi phí lãi vay,349.278.587,10.543.875.442,349278587.0,10543875442.0
Trà nợ gốc vay,Tập đoàn Điện lực Việt Nam > Trà nợ gốc vay,Trà nợ gốc vay,26.288.624.103,433.698.824.858,26288624103.0,433698824858.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,,
Thu nhập lãi cho vay,Tổng Công ty Phát điện 1 > Thu nhập lãi cho vay,Thu nhập lãi cho vay,29.761.945.159,71.620.714.107,29761945159.0,71620714107.0
Chi hộ,Tổng Công ty Phát điện 1 > Chi hộ,Chi hộ,-,222.432.861,,222432861.0
Chia cổ tức,Tổng Công ty Phát điện 1 > Chia cổ tức,Chia cổ tức,675.364.960.000,1.013.047.440.000,675364960000.0,1013047440000.0
Cho vay,Tổng Công ty Phát điện 1 > Cho vay,Cho vay,-,500.000.000.000,,500000000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,,
Bán điện,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam > Bán điện,Bán điện,2.382.885.316.248,1.606.097.833.456,2382885316248.0,1606097833456.0
Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,,
Bán điện,Tổng Công ty điện lực Miền Nam > Bán điện,Bán điện,82.112.262.470,69.166.881.191,82112262470.0,69166881191.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,
Cổ tức được chia,Công ty Cổ phần Thủy điện A Vương > Cổ tức được chia,Cổ tức được chia,7.015.067.680,2.579.069.000,7015067680.0,2579069000.0
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,,
Cổ tức được chia,Công ty Cổ phần Thủy điện Sông Ba Hạ > Cổ tức được chia,Cổ tức được chia,8.294.400.000,640.000.000,8294400000.0,640000000.0
Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,,
Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 1 > Mua dịch vụ,Mua dịch vụ,-,226.316.429,,226316429.0
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,,
Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 2 > Mua dịch vụ,Mua dịch vụ,-,2.545.534.865,,2545534865.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,,
Cung cấp dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Cung cấp dịch vụ,Cung cấp dịch vụ,481.454.545,270.767.526,481454545.0,270767526.0
Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Mua dịch vụ,Mua dịch vụ,2.295.550.760,5.484.457.991,2295550760.0,5484457991.0
Ứng trước hợp đồng xây dựng cơ bản,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Ứng trước hợp đồng xây dựng cơ bản,Ứng trước hợp đồng xây dựng cơ bản,897.977.200,-,897977200.0,
