row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
a. Phải trả ngắn hạn khác,a. Phải trả ngắn hạn khác,a. Phải trả ngắn hạn khác,a. Phải trả ngắn hạn khác,a. Phải trả ngắn hạn khác,,
Cổ tức phải trả,a. Phải trả ngắn hạn khác > Cổ tức phải trả,Cổ tức phải trả,25.882.602.849,25.692.083.389,25882602849.0,25692083389.0
Tạm ứng bồi thường bảo hiểm,a. Phải trả ngắn hạn khác > Tạm ứng bồi thường bảo hiểm,Tạm ứng bồi thường bảo hiểm,-,19.000.000.000,,19000000000.0
"Nhận ký quỹ, ký cược ngắn hạn","a. Phải trả ngắn hạn khác > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",3.982.996.101,3.815.414.575,3982996101.0,3815414575.0
"Các khoản phải trả, phải nộp khác","a. Phải trả ngắn hạn khác > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",21.781.408.772,20.872.293.670,21781408772.0,20872293670.0
,,,51.647.007.722,69.379.791.634,51647007722.0,69379791634.0
b. Phải trả dài hạn khác,b. Phải trả dài hạn khác,b. Phải trả dài hạn khác,b. Phải trả dài hạn khác,b. Phải trả dài hạn khác,,
"Nhận ký quỹ, ký cược dài hạn","b. Phải trả dài hạn khác > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",1.866.870.000,960.870.000,1866870000.0,960870000.0
,,,1.866.870.000,960.870.000,1866870000.0,960870000.0
