row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền sử dụng đất_1,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc_1,Tổng,Tổng_1,numeric__Quyền sử dụng đất,numeric__Quyền sử dụng đất_1,numeric__Nhà cửa và vật kiến trúc,numeric__Nhà cửa và vật kiến trúc_1,numeric__Tổng,numeric__Tổng_1
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,99.499.152.000,99.499.152.000,218.454.390.202,218.454.390.202,317.953.542.202,317.953.542.202,99499152000.0,99499152000.0,218454390202.0,218454390202.0,317953542202.0,317953542202.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,99.499.152.000,99.499.152.000,218.454.390.202,218.454.390.202,317.953.542.202,317.953.542.202,99499152000.0,99499152000.0,218454390202.0,218454390202.0,317953542202.0,317953542202.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,11.669.709.453,11.669.709.453,96.438.518.886,96.438.518.886,108.108.228.339,108.108.228.339,11669709453.0,11669709453.0,96438518886.0,96438518886.0,108108228339.0,108108228339.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.005.683.040,1.005.683.040,8.699.238.291,8.699.238.291,9.704.921.331,9.704.921.331,1005683040.0,1005683040.0,8699238291.0,8699238291.0,9704921331.0,9704921331.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,12.675.392.493,12.675.392.493,105.137.757.177,105.137.757.177,117.813.149.670,117.813.149.670,12675392493.0,12675392493.0,105137757177.0,105137757177.0,117813149670.0,117813149670.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,87.829.442.547,87.829.442.547,122.015.871.316,122.015.871.316,209.845.313.863,209.845.313.863,87829442547.0,87829442547.0,122015871316.0,122015871316.0,209845313863.0,209845313863.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,86.823.759.507,86.823.759.507,113.316.633.025,113.316.633.025,200.140.392.532,200.140.392.532,86823759507.0,86823759507.0,113316633025.0,113316633025.0,200140392532.0,200140392532.0
