row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận kê toán trước thuế,,249.749.222.326,990.357.709.694,,,249749222326.0,990357709694.0
02,02,02,Điều chỉnh cho các khoản:Khẩu hao và hao mòntài sản cố định vàbất động sản đầu tư,"12, 13, 14",7.004.107.307,6.789.670.328,,,7004107307.0,6789670328.0
03,03,03,Dự phòng (hoản nhập dự phòng)Lãi từ hoạt động đầu tư,,142.926.266.799(562.834.669.431),(527.777.777)(716.870.452.201),,,,
05,03 > 05,05,Chi phí đi vay,26,128.116.504.721,165.692.607.835,,26.0,128116504721.0,165692607835.0
06,06,06,,,,,,,,
08,06 > 08,08,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,(35.038.568.278),445.441.757.879,,,-35038568278.0,445441757879.0
09,06 > 09,09,Giảm các khoản phải thu(Tăng) giảm hàng tồn kho,,36.037.351.132(83.687.425.661),501.810.672.813,,,,501810672813.0
10,06 > 10,10,,,1.519.718.778.248(47.316.952.079),431.380.266.422,,,,431380266422.0
11,06 > 11,11,Tăng (giảm) các khoản phải trả(Tăng) giảm chi phí trả trước,,,(1.208.352.192.118),,,,-1208352192118.0
12,06 > 12,12,,,,33.480.756.532,,,,33480756532.0
13,06 > 13,13,Giảm chứng khoán kinh doanh,,,330.019.350.000,,,,330019350000.0
14,06 > 14,14,Tiền lãi vay đã trả,,(120.076.530.101),(146.571.828.338),,,-120076530101.0,-146571828338.0
15,06 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(88.323.859.091),(75.355.695.797),,,-88323859091.0,-75355695797.0
17,06 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(22.047.317.301),(26.338.064.845),,,-22047317301.0,-26338064845.0
20,06 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.159.265.476.869,285.515.022.548,,,1159265476869.0,285515022548.0
,,,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,06 > 21,21,Tiền chi để mua sắm tài sânc cố định,,(4.120.201.150),(40.279.405.190),,,-4120201150.0,-40279405190.0
22,06 > 22,22,Tiền thu do thanh lý tài sânc cố định,,,666.573.793,,,,666573793.0
23,06 > 23,23,Tiền chi cho vay,,(182.735.336.165),(386.471.407.232),,,-182735336165.0,-386471407232.0
24,06 > 24,24,Tiền thu hồi cho vay,,307.100.000.000,176.691.430.000,,,307100000000.0,176691430000.0
25,06 > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(1.345.732.000.000),(3.954.656.233.120),,,-1345732000000.0,-3954656233120.0
26,06 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,398.103.011.520,2.271.080.949.130,,,398103011520.0,2271080949130.0
27,06 > 27,27,"Tiền thu lãi cho vay, cổ tức được chia",,494.009.764.127,712.526.330.789,,,494009764127.0,712526330789.0
30,06 > 30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(333.374.761.668),(1.220.441.761.830),,,-333374761668.0,-1220441761830.0
