row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,3.914.609.770.021,3.747.680.963.482,,,3914609770021.0,3747680963482.0
310,310,310,I. Nợ ngắn hạn,,3.912.346.627.968,3.746.722.266.225,,,3912346627968.0,3746722266225.0
311,311,311,1. Phải trả người bán ngắn hạn,19,177.767.382.279,204.286.222.512,,19.0,177767382279.0,204286222512.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,20,70.601.056.737,169.698.532.839,,20.0,70601056737.0,169698532839.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,21,591.054.078.654,357.177.624.428,,21.0,591054078654.0,357177624428.0
314,314,314,4. Phải trả người lao động,,101.854.390.585,72.917.447.886,,,101854390585.0,72917447886.0
315,315,315,5. Chi phí phải trả ngắn hạn,22,265.068.254.683,249.475.439.288,,22.0,265068254683.0,249475439288.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,23,11.115.936.331,5.195.181.081,,23.0,11115936331.0,5195181081.0
319,319,319,7. Phải trả ngắn hạn khác,24,1.939.069.048.712,2.421.093.401.284,,24.0,1939069048712.0,2421093401284.0
320,320,320,8. Vay ngắn hạn,25,677.149.695.337,238.477.660.043,,25.0,677149695337.0,238477660043.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,78.666.784.650,28.400.756.864,,,78666784650.0,28400756864.0
330,330,330,II. Nợ dài hạn,,2.263.142.053,958.697.257,,,2263142053.0,958697257.0
338,338,338,1. Vay dài hạn,25,2.263.142.053,958.697.257,,25.0,2263142053.0,958697257.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,5.078.529.331.287,2.235.162.250.334,,,5078529331287.0,2235162250334.0
410,410,410,I. Vốn chủ sở hữu,26.1,5.078.529.331.287,2.235.162.250.334,,261.0,5078529331287.0,2235162250334.0
411,411,411,1. Vốn cổ phần,,3.000.000.000.000,1.100.000.000.000,,,3000000000000.0,1100000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,3.000.000.000.000,1.100.000.000.000,,,3000000000000.0,1100000000000.0
414b,414b,414b,2. Phụ trội hợp nhất,,(9.350.460.000),(9.350.460.000),,,-9350460000.0,-9350460000.0
418,418,418,3. Quỹ đầu tư phát triển,,5.083.303.511,5.083.303.511,,,5083303511.0,5083303511.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,461.504.867.883,191.768.671.405,,,461504867883.0,191768671405.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đản cuối năm trước,,111.390.564,2.647.670.280,,,111390564.0,2647670280.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,461.393.477.319,189.121.001.125,,,461393477319.0,189121001125.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,,1.621.291.619.893,947.660.735.418,,,1621291619893.0,947660735418.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,8.993.139.101.308,5.982.843.213.816,,,8993139101308.0,5982843213816.0
