row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
LDG,LDG,LDG,Bên liên quan,Tạm ứng mua,Tạm ứng mua,Tạm ứng mua,,,,
LDG,LDG > LDG,LDG,Bên liên quan,cổ phần,489.740.000.000,-,,,489740000000.0,
LDG,LDG > LDG,LDG,Bên liên quan,Nhận góp vốn theo HĐHTKD,250.866.645.000,-,,,250866645000.0,
LDG,LDG > LDG,LDG,Bên liên quan,Lợi nhuận phần chia từ HĐHTKD,90.909.090.909,-,,,90909090909.0,
LDG,LDG > LDG,LDG,Bên liên quan,Doanh thu dịch vụ BĐS,80.864.232.073,37.219.010.037,,,80864232073.0,37219010037.0
LDG,LDG > LDG,LDG,Bên liên quan,Phí dịch vụ khác,97.265.372,37.219.010.037,,,97265372.0,37219010037.0
"Công ty TNHH Xây dựng Thương mai Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")","LDG > Công ty TNHH Xây dựng Thương mai Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")","Công ty TNHH Xây dựng Thương mai Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")",Công ty trong Tập đoàn,Nhân góp vốn theo HĐHTKD,10.000.000.000,6.041.430.000,,,10000000000.0,6041430000.0
"Công ty TNHH Xây dựng Thương mai Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")","LDG > Công ty TNHH Xây dựng Thương mai Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")","Công ty TNHH Xây dựng Thương mai Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")",Công ty trong Tập đoàn,Phí dịch vụ môi giới,-,13.636.363.636,,,,13636363636.0
"Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")","LDG > Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")","Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")",Công ty trong Tập đoàn,Góp vốn theo HĐHTKD,36.910.122.959,9.029.614.000,,,36910122959.0,9029614000.0
"Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")","LDG > Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")","Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")",Công ty trong Tập đoàn,Nhân góp vốn theo HĐHTKD,12.468.879.000,-,,,12468879000.0,
"Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")","LDG > Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")","Công ty TNHH Đầu tư Bất động sản Đất Xanh (""DXI"")",Công ty trong Tập đoàn,Lợi nhuận phần chia từ HĐHTKD,1.017.889.029,-,,,1017889029.0,
Xây dựng FBV,LDG > Xây dựng FBV,Xây dựng FBV,Công ty trong Tập đoàn,Đi vay,56.000.000.000,-,,,56000000000.0,
Xây dựng FBV,LDG > Xây dựng FBV,Xây dựng FBV,Công ty trong Tập đoàn,Phí dịch vụ môi giới,278.620.920,132.570.000,,,278620920.0,132570000.0
"Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")","LDG > Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")","Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")",Bên liên quan,Phí dịch vụ môi giới,1.617.399.900,-,,,1617399900.0,
"Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")","LDG > Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")","Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")",Bên liên quan,Doanh thu dịch vụ BĐS,305.941.038,-,,,305941038.0,
Ông Nguyễn Trường Sơn,LDG > Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Tổng Giám đốc,Góp vốn,5.795.000.000,2.470.000.000,,,5795000000.0,2470000000.0
Ông Nguyễn Trường Sơn,LDG > Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Tổng Giám đốc,Chia cổ tức,2.200.000.000,5.600.000.000,,,2200000000.0,5600000000.0
