row_label_raw,row_label_full,col_0,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cản đối kế toán hợp nhất,numeric__Bàng cản đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,14.548.659.656,17.254.748.188,(2.706.088.532),(7.085.861.109),14548659656.0,17254748188.0,-2706088532.0,-7085861109.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,465.655.639,17.297.714.740,(16.832.059.100),12.440.634.958,465655639.0,17297714740.0,-16832059100.0,12440634958.0
Dự phòng các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,1.622.822.331,8.621.652.280,(6.998.829.950),8.379.187.479,1622822331.0,8621652280.0,-6998829950.0,8379187479.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,2.426.073.569,7.582.736,2.418.490.833,-,2426073569.0,7582736.0,2418490833.0,
,,,19.063.211.195,43.181.697.944,,,19063211195.0,43181697944.0,,
Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(51.193.147.041),(24.539.415.780),(26.653.731.261),43.443.528.790,-51193147041.0,-24539415780.0,-26653731261.0,43443528790.0
Chi phí phải trả,Thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,(6.651.785),(6.651.785),-,4.766.662.755,-6651785.0,-6651785.0,,4766662755.0
Dự phòng các khoản phải thu,Thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,(721.551.666),(721.551.666),-,-,-721551666.0,-721551666.0,,
,,,(51.921.350.492),(25.267.619.231),,,-51921350492.0,-25267619231.0,,
(Chi phí) Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại > (Chi phí) Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(Chi phí) Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(Chi phí) Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(Chi phí) Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(50.772.218.010),61.944.152.873,,,-50772218010.0,61944152873.0
