row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2016,31/12/2015,,
Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,,,,
Khách hàng:,Khách hàng:,Khách hàng:,,,,
• Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,Khách hàng: > • Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,• Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,8%,8%,0.08,0.08
• Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Khách hàng: > • Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,• Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,0.06,0.06
• Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,Khách hàng: > • Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,• Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,3%,3%,0.03,0.03
• Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Khách hàng: > • Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,• Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,0.01,0.01
Tổ chức tín dụng nước ngoài:,Tổ chức tín dụng nước ngoài:,Tổ chức tín dụng nước ngoài:,,,,
• Tiền gửi bằng ngoại tệ,Tổ chức tín dụng nước ngoài: > • Tiền gửi bằng ngoại tệ,• Tiền gửi bằng ngoại tệ,1%,1%,0.01,0.01
,,,31/12/2016Triệu VND,31/12/2015Triệu VND,,
Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,,,,
• Bằng VND,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > • Bằng VND,• Bằng VND,3.058.005,1.607.784,3058005.0,1607784.0
• Bằng USD,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > • Bằng USD,• Bằng USD,707.274,1.108.480,707274.0,1108480.0
,,,3.765.279,2.716.264,3765279.0,2716264.0
