row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,1.794.464,2.157.025,1794464.0,2157025.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,1.600.269,1.361.027,1600269.0,1361027.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,29.412,27.105,29412.0,27105.0
Thu từ dịch vụ ủy thác và đại lý,Thu từ dịch vụ ủy thác và đại lý,Thu từ dịch vụ ủy thác và đại lý,20.488,8.214,20488.0,8214.0
Thu dịch vụ khác,Thu dịch vụ khác,Thu dịch vụ khác,144.295,760.679,144295.0,760679.0
Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,(1.563.107),(1.085.567),-1563107.0,-1085567.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.390.119),(928.075),-1390119.0,-928075.0
Chi từ dịch vụ ủy thác và đại lý,Chi từ dịch vụ ủy thác và đại lý,Chi từ dịch vụ ủy thác và đại lý,(393),(2.550),-393.0,-2550.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(46.929),(40.634),-46929.0,-40634.0
Chi dịch vụ khác,Chi dịch vụ khác,Chi dịch vụ khác,(125.666),(114.308),-125666.0,-114308.0
,,,231.357,1.071.458,231357.0,1071458.0
