row_label_raw,row_label_full,STT,Tên Công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nằm giờ,Hoạt động chính,numeric__Tên Công ty,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nằm giờ,numeric__Hoạt động chính
,,,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,,,,
5,5,5,Công ty CP Chế biển Thực phẩm xuất khẩu Miền Tây,Cần Thơ,"39,37%","95,87%",Chế biển nông sản,,,0.3937,0.9587,
6,6,6,Công ty CP Hạt giống TSC,Cần Thơ,"40,25%","99,74%",Kinh doanh hạt giống,,,0.4025,0.9974,
7,7,7,Công ty CP FIT Consumer,Hồ Chí Minh,"51,74%","100,00%",Kinh doanh hàng hóa tiểu dùng,,,0.5174,1.0,
8,8,8,Công ty CP Giống Cây trồng Nông Tín,Hồ Chí Minh,"31,90%","77,67%","Sản suất, kinh doanh giống cây trồng",,,0.319,0.7767000000000001,
9,9,9,Công ty CP Westfood Hậu Giang,Hậu Giang,"38,58%","98,00%",Chế biển nông sản,,,0.3858,0.98,
10,10,10,"Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế",Lào,"36,76%","51,00%",Giới thiệu thuốc,,,0.3676,0.51,
11,11,11,Công ty TNHH MTV Dược phẩm VPC-Sài Gòn,Hồ Chí Minh,"72,07%","100,00%","Kinh doanh được phẩm, dụng cụ y tế",,,0.7206999999999999,1.0,
12,12,12,Công ty CP Dược phẩm Benovas,Hồ Chí Minh,"72,03%","99,93%","Kinh doanh được phẩm, trang thiết bị y tế",,,0.7203,0.9993000000000001,
13,13,13,Công ty CP Thiết bị Y tế Benovas,Vĩnh Long,"72,07%","100,00%","Sản xuất và kinh doanh dụng cụ, trang thiết bị y tế",,,0.7206999999999999,1.0,
14,14,14,Công ty CP Thuốc Ung thư Benovas,Hà Nội,"39,64%","55,00%","Sản xuất thuốc, hóa được và được liệu",,,0.39640000000000003,0.55,
15,15,15,Công ty Cổ phần nước khoảng Khánh Hòa,Khánh Hòa,"26,38%","78,85%",Sản xuất nước khoảng và các sản phẩm từ nước khoảng,,,0.2638,0.7885,
