row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,
Kinh phí công đoàn,a) Ngắn hạn > Kinh phí công đoàn,Kinh phí công đoàn,43.310.476.507,35.250.149.382,43310476507.0,35250149382.0
"Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp","a) Ngắn hạn > Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp","Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp",39.424.867.479,33.690.405.484,39424867479.0,33690405484.0
"Nhận ký quỹ, ký cược ngắn hạn","a) Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",165.183.629.597,127.756.116.846,165183629597.0,127756116846.0
"Cổ tức, lợi nhuận phải trả","a) Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",80.751.052.964,4.901.045.648,80751052964.0,4901045648.0
Chi phí hỗ trợ nhận trước từ nhà cung cấp,a) Ngắn hạn > Chi phí hỗ trợ nhận trước từ nhà cung cấp,Chi phí hỗ trợ nhận trước từ nhà cung cấp,12.826.578.188,34.293.441.263,12826578188.0,34293441263.0
"Các khoản phải trả, phải nộp ngắn hạn khác","a) Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",182.128.806.018,66.391.578.995,182128806018.0,66391578995.0
,,,523.625.410.753,302.282.737.618,523625410753.0,302282737618.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","b) Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",3.208.810.814,20.051.178.357,3208810814.0,20051178357.0
"Các khoản phải trả, phải nộp dài hạn khác","b) Dài hạn > Các khoản phải trả, phải nộp dài hạn khác","Các khoản phải trả, phải nộp dài hạn khác",145.620.064.962,165.361.493.608,145620064962.0,165361493608.0
,,,148.828.875.776,185.412.671.965,148828875776.0,185412671965.0
