row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,6.361.804.702,4.643.183.262,6361804702.0,4643183262.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,302.118.355,309.707.649,302118355.0,309707649.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,70.820.933,72.529.775,70820933.0,72529775.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,18.179.683,18.922.631,18179683.0,18922631.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",523.000.000,653.000.000,523000000.0,653000000.0
Phải trả tiền cổ tức,Phải trả tiền cổ tức,Phải trả tiền cổ tức,7.948.083.048,6.617.487.323,7948083048.0,6617487323.0
Phải trả qua tài khoản tập trung,Phải trả qua tài khoản tập trung,Phải trả qua tài khoản tập trung,219.761.640.088,345.250.354.611,219761640088.0,345250354611.0
- Công ty TNHH Hệ thống Thông tin FPT,- Công ty TNHH Hệ thống Thông tin FPT,- Công ty TNHH Hệ thống Thông tin FPT,113.958.310.720,226.198.112.560,113958310720.0,226198112560.0
- Công ty TNHH Giáo dục FPT,- Công ty TNHH Giáo dục FPT,- Công ty TNHH Giáo dục FPT,14.803.335.226,93.557.108.386,14803335226.0,93557108386.0
- Công ty TNHH Phân mềm FPT,- Công ty TNHH Phân mềm FPT,- Công ty TNHH Phân mềm FPT,6.097.062.398,1.308.787.235,6097062398.0,1308787235.0
- Công ty Cổ phần Viễn thông FPT,- Công ty Cổ phần Viễn thông FPT,- Công ty Cổ phần Viễn thông FPT,3.033.497.296,4.653.862.834,3033497296.0,4653862834.0
- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,3.140.042.971,16.513.848.461,3140042971.0,16513848461.0
- Công ty TNHH Đầu tư FPT,- Công ty TNHH Đầu tư FPT,- Công ty TNHH Đầu tư FPT,78.729.391.477,3.018.635.135,78729391477.0,3018635135.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",6.650.274.642,38.965.566.901,6650274642.0,38965566901.0
- Công ty TNHH Truyền thông và giải trí FPT,- Công ty TNHH Truyền thông và giải trí FPT,- Công ty TNHH Truyền thông và giải trí FPT,-,33.904.130.386,,33904130386.0
- Khác,- Khác,- Khác,6.650.274.642,5.061.436.515,6650274642.0,5061436515.0
,,,241.635.921.451,396.530.752.152,241635921451.0,396530752152.0
